,単位,明　　治　　15,,明　　治　　16,,明　　治　　17,,明　　治　　18,,明　　治　　19,,明　　治　　20,,明　　治　　21,,明　　治　　23,,明　　治　　24,,明　　治　　25,,明　　治　　26,,明　　治　　27,,明　　治　　28,,明　　治　　29,
,,数　　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
鯨鬚及び鯨骨,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,10,-,-,-,-,-,-,-,-,-,-,-,-
油蝋類,小計,●●●,３,-,-,●●●,"5,650",-,-,-,-,-,一,●●●,17,-,-,-,一,一,-,-,-,-,-,-,-,●●●,51
獣脂諸類,斤,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,27
魚油,斤,138,３,一,-,"308,158","5,650",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
菜子油,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
薬用以外の諸油類,,-,-,-,-,-,-,-,-,-,-,-,一,●●●,17,-,-,-,-,-,-,-,-,一,-,-,-,●●●,24
製茶類,小計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,襴●●,95,●●●,347
紅茶,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,95,550,143
磚茶,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,721",204
布帛衣裳及び材料類,小計,-,-,●●●,２,-,-,-,-,一,-,●●●,30,-,-,-,-,-,-,-,-,-,-,●・●,155,●●■,"3,725",●●●,"2,787"
地氈類,枚,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
棉花,斤,-,-,-,-,-,-,一,一,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,87,22
綿織糸,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,６,300,124
綿フラネル,段,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,314,710
その他諸綿布類,段,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,884,"2,254",323,337
綿メリヤス肌衣,打,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,147
帽子,打,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,49,72,384
蒲団,個,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,120
絹布手巾,打,-,-,-,-,-,-,-,-,-,-,-,-,一一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他諸衣裳付属品,,-,-,●■●,２,-,-,-,-,-,-,●●●,30,-,-,一,-,-,-,-,-,-,-,●●●,155,●●●,"1,417",●●●,944
煙草類,小計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,φ●●,４,●●●,61,●●●,41
刻煙草その他諸製煙草類,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,４,112,31,101,41
葉煙草,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,~,-,356,30,-,-
雑貨一類,小計,●●●,465,●●●,"3,872",●・●,"1,070",・●●,"8,247",●●●,"29,383",●●●,"70,108",●■●,"31,450",●●暮,"13,417",●●●,"2,742",●●●,"50,670",●●●,"18,058",●●●,"53,659",●●●,"15,058",暑●●,"97,101"
竹材,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,●●●,５,●暮●,12
禽獣類,,-,５,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
木炭,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,"1,200",８,"1,620",13
石炭,トッ,-,-,-,-,１,６,"1,619","7,888","9,416","26,784","12,149","30,380",-,-,-,一,-,-,100,500,-,-,"5,793","25,939",876,"5,256",190,"1,075"
石炭(船用),トッ,-,-,-,-,40,250,-,-,"2,680","2,201","2,882","7,657",804,"3,485","2,070","10,075",645,"2,270",675,"4,615",676,"3,295",985,"5,467","1,515","9,690","1,752","10,242"
コーク,斤,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
