,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　和　　10,,昭　　和　　11,,昭　　和　　12,,昭　　和　　13,
,,数　量,金　額,数　量,金　額,數　量,金　額,数　量,金　　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額
糸縷縄索及び同材料,小計,●●●,"498,306",●●●,"446,898",●二●,"393,280",●●●,"355,599",-,-,-,-,-,-
麻縄,百斤,"17,693","331,695","17,955","389,331","15,955","346,018","14,665","313,791",-,-,-,-,-,-
麻絲及び麻線,百斤,"4,728","151,596","1,334","42,772","1,285","38,154","1,157","34,898",-,-,-,-,-,-
その他線縄紐類,百斤,255,"12,882",-,-,-,-,-,-,一,-,-,-,-,-
麻類,百斤,80,"2,065",12,653,-,-,-,-,-,-,-,-,-,-
その他糸縷縄索類,,●●●,68,●●●,"14,142",●●●,"9,108",●●●,"6,910",-,-,-,-,-,-
布帛及び同製品,小計,●●●,"1,358,249",●●●,"1,746,873",●●●,"1,617,620",●●●,"1,471,295",-,-,●●●,210,-,-
綿布,方ﾔづ,"23,159","3,201","22,089","4,636","19,402","4,930","21,729","5,207",-,-,-,-,-,-
襤褸,百斤,370,"1,508",331,"1,509",664,"5,605",556,"4,790",-,-,-,-,-,-
その他布帛,,●●●,"1,302",●●Ｉ,-,-,-,-,-,-,-,-,-,-,-
蒲団及び敷布,斤,"8,149","4,398","9,591","4,718",113,"5,974",95,"4,923",-,-,-,-,-,-
漁網,百斤,"27,687","1,299,628","26,152","1,686,289","28,918","1,538,830","25,827","1,390,311",-,-,-,-,-,-
(綿製),百斤,-,-,-,-,-,-,"(11,270)","(822,887)",-,-,-,-,-,-
(麻製),百斤,-,-,-,-,-,-,"(14,557)","(567,424)",-,-,-,-,-,-
麻袋,千個,54,"6,430",48,"10,549",39,"9,543",-,-,-,-,-,-,一,-
その他布帛製品,,●●●,"41,782",■●●,"39,172",●●●,"52,738",●●●,"66,064",-,-,●●●,210,-,-
衣類及び同付属品,小計,●●●,"80,789",●●●,"75,629",●●φ,"98,077",■●●,"83,952",-,-,-,-,-,-
綿メリヤスシャツ（上下共）,打,773,"5,736",175,"1,098",-,-,-,-,-,-,-,-,-,-
その他シャツ（上下共）,打,304,"2,275",800,"7,150","1,135","10,200",-,-,-,-,-,-,-,-
メリヤス手袋,打,"19,598","20,230","17,205","23,587","22,852","31,164",-,-,-,-,-,-,-,-
メリヤス製品,,-,-,-,-,-,-,●●●,"26,937",-,-,-,-,-,一
靴下及び足袋,打,"1,731","7,823","1,382","7,005","1,513","7,655","1,419","7,390",-,-,-,-,-,-
革靴及びゴム靴,打,"1,738","14,885","1,442","11,668","1,753","17,974","1,433","12,904",-,-,-,-,-,-
その他履物,,●●■,"1,330",●●●,930,●●●,656,"1,159",666,一,-,一,-,-,-
洋服,,●●●,"1,500",●●●,"1,336",●●●,"1,840",-,一,-,-,-,-,-,-
その他衣類及び同付属品,,●●・,"27,010",●●●,"22,855",●●盞,"28,588",●●●,"36,055",-,-,-,-,-,-
紙製品及び書画類,小計,●●●,"38,189",●●●,"33,807",●●●,"69,529",●●●,"48,868",-,-,-,-,-,-
包装用紙,百斤,60,"1,967",58,"2,111",264,"8,851",105,"3,442",-,-,-,-,-,-
その他紙,百斤,20,316,３,103,４,101,63,814,-,-,-,-,-,-
レーベノレ,斤,"76,432","35,556","48,097","31,082","75,877","56,921","47,118","30,640",-,-,-,-,-,-
印刷物,,●●●,199,●●●,２,-,-,-,-,-,-,-,-,-,-
その他紙製品,,●●●,151,■■●,509,●●●,"3,656",●●●,"13,972",-,-,-,-,-,-
鉱物及び同製品,小計,●●●,"155,918",●●φ,"160,901",●●●,"198,195",●●●,"98,509",-,-,●●■,"135,765",-,-
石綿及び同製品,,●●●,"3,138",●●●,"4,361",●●●,"2,837",255,"2,122",-,-,-,-,-,-
石炭,英ﾄﾝ,"8,917","121,241","8,291","114,079","10,424","160,787","2,632","45,367",-,-,-,-,-,-
セメント,百斤,"7,726","12,972","10,254","12,313","10,966","13,568","34,061","29,726",-,-,"201,149","135,765",-,-
その他鉱物及び同製品,,●●●,"18,567",●●畊,"30,148",●●●,"21,003",●●●,"21,294",-,-,-,-,-,-
陶磁器及び硝子類,小計,●●帰,"40,539",●●●,"39,071",●●●,"38,272",●●●,"30,772",-,-,-,-,-,-
陶磁器,,●●●,"14,232",●●●,"11,441",●●●,"11,546",●●●,"9,220",-,-,-,-,-,-
窓硝子,方呎,"22,348","1,191","40,872","3,141","21,689","1,518",-,-,-,-,-,-,-,-
