,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
刻昆布,箱,-,-,-,-,-,-,-,-,２,74,15,30,１,42
水産食料品,貫,-,-,-,一,-,-,523,744,96,174,400,718,253,471
鉱産物,小計,●●●,"199,841",●●●,"203,604",,"314,538",●●●,"230,212",●■●,"223,297",●●●,"171,259",●●●,"211,097"
石炭,トソ,"6,046","130,138","6,535","134,494","10,696","220,516","9,638","188,977","6,430","126,811","6,159","104,663","4,421","64,396"
揮発油,箱,"4,766","24,103",711,"4,524",971,"11,618","3,075","18,056","4,096","15,626","2,371","16,873","3,257","18,138"
石油,箱,"2,645","15,549","6,209","11,759","1,693","10,679","3,736","17,462","1,981","9,940","1,284","7,786","4,616","21,051"
その他鉱油,箱,"3,028","23,495","9,405","47,905","16,021","71,725","6,207","5,717","15,975","70,585","11,562","41,476","44,116","106,171"
その他鉱産物,トソ,66,"6,556",13,"4,922",-,-,-,-,42,335,８,461,73,"1,341"
工産物,小計,●●●,"4,961,266",●●●,"6,537,858",●●●,"6,929,619",●●●,"8,493,312",●●●,"5,914,251",●●●,"7,877,433",●・●,"5,284,023"
清酒,升,"33,238","35,091","32,758","31,902","38,743","43,320","20,721","22,189","38,057","35,845","31,530","30,939","15,735","11,584"
焼酎,升,-,-,-,-,-,-,-,-,一,-,-,-,107,81
麦酒,箱,128,"2,397",183,"1,753",25,383,-,-,-,一,８,122,21,332
葡萄酒,箱,-,-,-,-,-,-,-,-,-,-,１,38,-,-
その他和酒,升,-,-,-,-,-,-,"9,540","10,809",-,-,-,-,-,-
その他洋酒,升,-,-,150,159,２,49,且4,50,-,-,-,-,51,120
味噌,貫,"42,608","28,512","32,479","20,084","44,938","28,569","30,084","19,600","33,612","20,673","55,904","33,509","47,242","22,284"
醤油,升,"17,870","9,967","7,177","3,897","13,545","6,908","15,282","7,488","10,368","5,530","24,260","10,239","13,186","4,100"
食塩,叺,"28,751","89,029","1,148,004","1,054,092","494,504","488,852","1,008,942","1,000,746","1,600","2,888","90,760","71,817","980,862","735,578"
砂糖,担,"1,599","25,031","1,374","23,274",271,"4,477",711,"9,074",246,"2,488",278,"4,347",858,"8,019"
小麦粉,袋,"30,778","126,533","6,272","30,793",683,"2,792",212,"1,429",210,"1,147",413,"1,962",222,588
澱粉・馬鈴薯澱粉,袋,22,257,-,-,14,151,１,10,15,106,14,工83,11,123
