,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,函　　　　　　　　館　　　　　　　　控　　　　　　　　訴　　　　　　　　院,,,,,,,,,,,,,
,,言　　渡　　　区　　　分,,,,,受　　　　刑　　　　者　　　　区　　　　分,,,,,,,,
,,管轄違,無　罪,有　罪,その他,計,死　刑,懲　　役,,禁　　　固,,罰　金,拘　留,科　料,計
,,,,,,,,無　期,有　期,無　期,有　期,,,,
,明治37,幽幽●,,●●●,・●齒,■・・,●■■,●●●,,,●・■,●●●,●●●,●●●,●●●
,38,●●●,,●●●,●●●,●・●,・■呷,●●●,・■■,,●●・,,,,●二●
,39,●●●,血■・,●４■,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,■●●,●●●,
,40,,,,,●●●,,●●●,・■■,●●●,●・●,●●●,●●曾,●●●,●●●
,41,●●●,,,●●●,●・●,・■呷,■－・,・・■,,■・■,,,,●二●
,42,-,31,９,118,158,１,-,６,-,-,１,-,１,９
,43,-,51,275,５,331,２,４,370,-,５,58,-,５,444
,44,-,26,515,１,542,５,１,639,１,12,63,５,３,729
,大正１,-,30,331,９,370,１,-,318,３,１,48,21,３,395
,２,-,14,166,２,182,-,４,188,-,-,14,-,-,206
,３,-,11,149,-,160,３,１,186,-,-,４,-,-,194
,４,-,８,92,57,157,８,-,n2,-,１,35,-,-,156
,５,-,４,113,-,117,６,４,184,-,-,63,-,-,257
,６,-,５,95,55,155,８,１,184,-,12,13,-,-,218
,７,-,４,125,-,129,６,１,143,-,22,20,-,-,192
,８,-,６,142,-,148,６,●●二,158,●●●,３,３,-,-,170
,９,-,10,120,-,130,２,●●●,176,●・●,１,36,-,-,215
,10,-,18,145,-,163,７,,123,●●●,９,６,-,-,145
