,昭　　和　　15,昭　　和　　16,昭　　和　　17,昭　　和　　18,昭　　和　　19,昭　　和　　20,昭　　和　　21
高等実修女学校費,,,,328.00,-,-,-
設備費,,,,328.00,-,-,ー
港湾費,,"300,000.00","333,037.78","133,450.39","45,668.50","17,296.80","84,195.98"
災害復旧費,,,"19,537.78","0,00",-,-,-
施設費,,,"13,500.00","33,450.39","45,668.50","17,296.80","84,195.98"
埠頭築設費負担金,,"300,000.00","300,000.00","100,000.00",-,-,-
工業学校費,,"18,478.92","3,489.99","10,570.37",-,-,-
設備費,,"18,478.92","3,489.99",10.570.37,-,-,-
繰入金,"160,121.65","3,306.68","6,483.33","27,461.98",-,-,-
特別会計公益質屋費繰入金,"4,125.18","3,306.68","6,483.33","4,061.98",-,-,ー
特別会計復興事業費繰入金,"155,996.47",-,-,-,-,-,-
函館病院特別資金繰入金,,,,"23,400.00",-,-,-
港務部建設費,,"81,903.57","7,546.60","6,560.06",-,-,ー
港務部建設費,,"81,903.57","7,546.60","6,560.06",-,-,-
財産買入費,"1,095.38","198,821.26","88,660.30","8,185.70","15,281.38",-,-
土地買収費,"1,095.38","198,821.26","88,660.30","8,185.70","15,281.38",-,-
警防費,,0.00,"28,803.00",,,"2,318,395.24",-
消防設備費,,0.00,"28,803.00",-,-,-,-
防空費,,,,,,"2,318,395.24",-
雑支出,,,,,,,
雑支出,,,,,,,
水上警防団詰所建設費,,,,285.00,-,-,-
水上警防団詰所建設費,,,,285.00,-,-,-
企業整備実施費,,,,975.30,518.30,-,-
企業整備実施費,,,,975.30,518.30,-,-
出張所庁舎改築費,"17,098.81",一,-,-,-,-,-
湯川出張所庁舎改築費,"17,098.81",-,-,-,-,-,ー
火葬場改築費,"4,723.98",-,-,-,-,-,-
湯川火葬場改築費,"4,723.98",-,-,-,-,-,-
植林費,"2,137.85",-,-,-,-,-,-
植林費,"2,137.85",-,-,-,-,-,-
市史編纂費,892.92,"3,007.00","3,984.67","1,655.42","2,346.00",256.00,-
市史編纂費,892.92,"3,007.00","3,984.67","1,655.42","2,346.00",256.00,-
製炭事業費,,"6,881.50","8,367.73","4,944.45","12,000.00","7,909.98","11,558.40"
製炭事業費,,"6,881.50","8,367.73","4,944.45","12,000.00","7,909.98","11,558.40"
負担金,"12,563.00",-,"45,819.00",-,-,-,-
奉祝会負担金,"3,000.00",-,-,-,-,-,-
教員保養所負担金,"5,000.00",-,"4,419.00",-,-,-,-
道路改修費負担金,,,"8,000.00",-,-,-,-
司法保護事業費負担金,,,"31,900.00",-,-,-,-
水上警防設備費負担金,,,"1,500.00",-,-,-,-
職業紹介所負担金,"4,563.00",-,-,-,-,-,-
換地清算納付金,"92,037.80",-,-,-,-,-,-
換地清算納付金,"92,037.80",-,-,-,-,-,-
復興記念式費,"13,597.06",-,-,-,-,-,-
復興記念式費,"13,597.06",-,-,-,-,-,-
観測所建設費,"7,230.43","16,532.38","0,00",119.00,-,-,-
観測所建設費,"7,230.43","16,532.38",0.00,119.00,-,-,-
臨時賞与費,"117,273.23",-,"145,548.00","287,614.00",-,-,-
臨時賞与費,"117,273.23",-,"145,548.00","287,614.00",-,-,-
手当費,,,,"255,693.60",-,-,-
臨時手当費,,"167,264.50","178,827.25","87,798.50",-,-,-
臨時手当費,,"167,264.50","178,827.25",-,-,-,-
臨時家族手当費,"28,354.00","60,866.00","146,060.00","100,950.00",-,-,-
臨時家族手当費,"28,354.00","60,866.00","146,060.00",-,-,-,-
戦時勤勉手当費,,,"56,323.40","66,945.10",-,-,-
戦時勤勉手当費,,,"56,323.40",-,-,-,-
防火改修事業費,,"9,500.00","16,323.07","18,223.75",-,-,-
防火改修事業費,,"8,000.00","3,278.80","16,437.20",-,-,-
助成費,,,"10,200.00",0.00,-,-,ー
事務費,,,"2,844.27","1,786.55",-,-,-
防火改修家屋火災実施費負担金,,"1,500.00",-,-,-,-,ー
防空費,,"100,331.00","53,354.58","3,229.78",-,-,-
施設費,,"68,092.75","10,461.66","2,709.78",-,-,-
整備費,,"32,238.25","42,892.92",520.00,-,-,-
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
