,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
繰越金,"25,751,222","60,313,045","180,853,075","230,315,749","209,570.241","149,459,903","154,426,863","102,096,445","155,569,026","319,307,989","406,106,008","89,511,000","13,144,366","41,825,836","352,572,003","557,622,136"
繰越金,"25,751,222","60,313,045","180,853,075","230,315,749","209,570,241","149,459,903","154,426,863","102,096,445","155,569,026","319,307,989","406,106,008","89,511,000","13,144,366","41,825,836","352,572,003","557,622,136"
前年度繰越金,"25,751,222","60,313,045","180,853,075","230,315,749","209,570,241","149,459,903","154,426,863","102,096,445","155,569,026","319,307,989","406,106,008","89,511,000","13,144,366","41,825,836","352,572,003","557,622,136"
諸収入,"448,629,088","542,280,512","647,779,841","826,072,364","947,837,247","1,012,316,268","1,161,909,040","1,277,577,113","1,646,514,821","2,671,966,035","2,916,264,289","3,587,188,612","3,834,252,637","5,408,414,272","5,238,206,917","5,957,277,611"
延滞金加算金及び過料,"5,805,909","5,236,604","8,802,685","8,498,836","4,929,033","4.696,432","7,637,027","6,908,776","7,752,908","10,053,146","18,199,553","21,237,936","28,068,309","28,099,800","32,879,184","22,369,597"
延滞金,"5,759,819","5,133,484","8,720,685","8,466,866","4,867,433","4,663,232","7,637,027","6,908,776","7,752,908","10,053,146","18,199,553","21,204,186","28,068,309","28,040,000","32,879,184","22,369,597"
加算金,"46,090","103,120","82,000","31,970","61,600","33,200",０,０,０,０,０,"33,750",-,"59,800",０,０
預金利子,"4,183,593","4,580,264","7,247,351","11,560,491","13,218,541","15,536,905","13,835,354","20,023,892","26,971,537","40,259,900","29,494,114","43,685,794","29,896,300","35,021,188","22,583,505","38,301,758"
預金利子,"4,183,593","4,580,264","7,247,351","11,560,491","13,218,541","15,536,905","13,835,354","20,023,892","26,971,537","40,259,900","29,494,114","43,685,794","29,896,300","35,021,188","22,583,505","38,301,758"
貸付収入,"134,450,966","160,102,342","184,141,581","210,097,131","272,491,101","210,346,307","232,364,499","255,669,752","294,377,918","446,467.289","531,723,273","840,199,080","826,035,590","1,333,538,643","1,375,017,362","1,486,438,110"
転貸債返還金,"5,804,764","5,804,764","5,804,764","5,804,764","5,804,764","5,804,764","6,341,686","5,246,736","5,246,736","5,246,736","5,246,736","5,246,736","5,246,736","5,246,736","5,246,736","5,246,736"
生業資金貸付収入,"538,077","611,450","508,154","262,424","129,752","17,407",０,０,０,０,０,０,０,０,０,０
機械貸付収入,"41,003,569","42,735,290","44,393,556","53,443,568","54,114,121","38,696,589","45,449,630","33,497,245","32,975,255","25,378,717","15,986,971","6,136,537","887,775","2,626,417","2,797,199","1,496,099"
住宅改修貸付収入,"1,906,748","2,230,667","1,833,321","798,104","302,619",-,-,-,-,-,-,一,-,-,-,-
農漁家経済振興資金貸付収入,,,,"6,650,000","4,390,000",-,-,-,-,-,-,-,-,-,-,-
合併漁業協同組合調整資金貸,,,,"7,000,000",-,-,-,-,-,-,-,-,-,-,-,-
貸付金収入,"85,197,808","108,720,171","131,601,786","136,138,271","207,749,845","165,827,547","180,573,183","216,925,771","256,155,927","415,841,836","510,489,566","828,815,807","819,901,079","1,325,665,490","1,366,973,427","1,479,695,275"
