,昭和27(28.1-3),昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
収益的収入,,,,,,,,,,,,,,,,,,,,,,,,,,,
水道事業収益,"34.581,547","130,940,531","160,493,384","170,346,438","185,849,136","199,718,657","197,394,308","217,433,529","275,696,967","325,266,573","370,339,503","441,678,684","461,187,131","514,607,632","510,610,478","683,546,083","772,965,672","804,989,007","916,810,019","965,125,389","1,089,667,986","1,346,910,143","2,881,375,034","2,832,858,281","3,084,031,803","2,945,627,327","2,928,213,773"
営業収益,"21,511,328","90,073,763","157,579,161","167,464,882","181,737,360","196,945,952","194,755,054","215,096,835","273, C〕39,205","322,492,321","366,450,208","438,649,389","456,609,033","513,534,645","500,018,663","674,641,295","757,043,283","794,302,024","902,502,846","942,240,784","1,068,169,412","1,325,944,346","2,844,391,433","2,796,500,666","2,988,063,915","2,850,784,606","2.764,223,908"
付帯事業収益,"12,967,279","38,403,670",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
営業外収益,"102,940","2,463,098","2,914,223","2,881,556","4,111,776","2,772,705","2,639,254","2,336,694","2,657,762","2,774,252","3,889,295","3,029,295","4,578,098","1,072,987","10,591,815","8,904,788","15,922,389","10,686,983","14,307,173","22,884,605","21,498,574","20,965,797","36,983,601","35,390,589","83,077,142","94,450,321","119,054,879"
特別利益,,,,,,,,,,,,,,,,,,,,,,,,"967,026","12,890,746","392,400","44,934,986"
温泉事業収益,"6,258,362","27,099,020","29,603,924","27,870,217","26,433,091","25,426,046","28,414,320","27,919,050","27,924,147","27,189,888","34,342,512","43,180,701","42,223,836","44,988,965",-,-,-,-,-,-,-,-,-,-,-,-,-
営業収益,"6,096,973","26,093,230","29,483,934","27,660,013","26,167,209","25,175,023","28,018,522","27,746,014","27,795,890","27,068,101","34,239,056","42,895,621","41,983,580","44,611,412",-,-,-,-,-,-,-,-,-,-,-,-,-
付帯事業収益,"137,190","728,098",-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
営業外収益,"24,199","277,692","119,990",210.204,"265,882","251,023","395,798","173,036","128,257","121,787","103,456","285,080","240,256","377,553",-,-,-,-,-,-,-,一,-,-,-,-,-
合計,"40,839,909","158,039,551","190,097,308","198,216,655","212,282,227","225,144,703","225,808,628","245,352,579","303,621,114","352,456,461","404,682,015","484,859,385","503,410,967","559,596,597","510,610,478","683,546,083","772,965,672","804,989,007","916,810,019","965,125,389","1,089,667,986","1,346,910,143","2,881,375,034","2,832,858,281","3,084,031,803","2,945,627,327","2,928,213,773"
期間外収益,,,,,,,,,,,,180,"614,371","7,631","95,940","1,341,377","119,525","1,000","87,298","995,440","2,272,671","677,189","140,208,917",-,-,-,-
総　計,"40,839,909","158,039,551","190,097,308","198,216,655","212,282,227","225,144,703","225,808,628","245,352,579","303,621,114","352,456,461","404,682,015","484,859,565","504,025,338","559,604,228","510,706,418","684,887,460","773,085,197","804,990,007","916,897,317","966,120,829","1,091,940,657","1,347,587.332","3,021,583,951","2,832,858,281","3,084,031,803","2,945,627,327","2,928,213,773"
収益的支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
水道事業費,"27,019,664","120,081,046","136,404,249","149,245,677","159,460,664","178,374,527","195,896,593","212,701,872","279,688,774","317,123,364","327,046,193","415,430,353","460,407,805","525,271,078","533,027,023","620,737,145","679,546,801","760,632,077","872,199,692","970,235,371","1,221,892,378","1,742,066,028","2,376,116,727","2,577,856,921","2,892,514,156","3,012,114,082","3,035,155,041"
営業費用,"6,654,842","23,560,640","128,938,917","142,254,038","150,670,310","164.809,076","176,504,861","186,180,040","218,982,061","266,873,809","291,547,255","367,543,422","395,521,830","458,950,381","458,796,017","529,520,393","568,156,821","656,578,748","753,987,547","838,036,407","1,064,740,250","1,517,742,171","2,042,584,027","2,182,617,972","2,390,232,160","2,488,309,911","2,475,394,985"
付帯事業費,"7,130.879","39,221,328",-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-
一般管理費,"11,067,960","51,501,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
営業外費用,"2,165,983","5,797,278","7,465,332","6,991,639","8.790,354","13,565,451","19,391,732","26,521,832","60,706,713","50,249,555","35,498,938","47,886,931","64,885,975","66,320,697","74,231,006","91,216,752","111,389,980","104,053,329","118,212,145","132,198,964","157,152,128","224,323,857","333,532,700","392,808,589","499,719,123","521,785,653","557,082,109"
特別損失,,,,,,,,,,,,,,,,,,,,,,,,"2,430,360","2,562,873","2,018,518","2,677,947"
温泉事業費,"3,337,311","16,112,134","17,622,749","16,392,628","17,061,103","18,405,685","22,773,177","21,234,118","23,932,340","25,337,166","30,240,183","36,160,816","39,310,317","40,828,337",-,-,-,-,-,-,-,-,-,-,-,-,-
営業費用,"3,312,358","15,457,597","17,621,167","16,391,222","17,060,193","18,405,685","22,773,177","21,234,118","23,359,140","24,763,966","29,666,983","35,840,816","38,710,317","40,228,337",-,-,-,-,-,-,-,-,-,-,-,-,-
付帯事業費,"24,016","652,786",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-
営業外費用,937,"1,751","1,582","1,406",910,-,-,-,"573,200","573,200","573,200","320,000","600,000","600,000",-,-,-,-,-,-,-,-,-,-,-,-,-
合計,"30,356,975","136,193,181","154,026,998","165,638,305","176,521,767","196,780,212","218,669,770","233,935,990","303,621,114","342,460,530","357>286,376","451,591,169","499,718,122","566,099,415","533,027,023","620,737,145","679,546,801","760,632,077","872,199,692","970,235,371","1,221,892,378","1,742,066,028","2,376,116,727","2,577,856,921","2,892,514,156","3,012,114,082","3,035,155.041"
期間外費用,,,,,,,,,,,,"127,716","104,631","153,000","140,904","1,880,857","386,005","359,775","460,524","1,026,675","1,332,457","1,626,881","2,382,635",-,-,-,-
総　　計,"30,356,975","136,193,181","154,026,998","165,638,305","176,521,767","196,780,212","218,669,770","233,935,990","303,621,114","342,460,530","357,286,376","451,718,885","499,822,753","566,252,415","533,167,927","622,618,002","679,932,806","760,991,852","872,660,216","971,262,046","1,223,224,835","1.743,692,909","2,378,499,362","2,577,856,921","2,892,514,156","3,012,114.082","3,035,155,041"
収支（収益一費用）,"10,482,934","21,846,370","36,070,310","32,578,350","35,760,460","28,364,491","7,138,858","11,416,589",０,"9,995,931","47,395.639","33,268,216","3,692,845","△6,502,818","△22,416,545","62,808,938","93,418,871","44,356,930","44,610,327","△5,109,982","△132,224,392","△395,155,885","505,258,307","255,001,360","191,517,647","△66,486,755","△106.941,268"
期間外収支,,,,,,,,,,,,"△127,536","509,740","△145,369","△44,964","△539,480","△266,480","△358,775","△373,226","△1,235","940,214","△949,692","137,826,282",一,-,-,-
資本的収入,,,,,,,,,,,,,,,,,,,,,,,,,,,
水道事業収入,"17,028,053","20,000,000","33,967,356","40,700,000","70,398,000","100,800,000","66,900,000","104,000,000","70,776,633","62,000,000","35,110,000","95,155,280","32,692,204","13,025,276","241,061,000","230,918,061","153,096,000","215,600,000","145,035,000","229,434,931","440,313,659","350,820,941","1,171,658,812","1,599,912,261","742,776,685","486,057,000","410,984,356"
企業債,,"20,000,000","30,000,000","40,000,000","70,000,000","100,000,000","6(〕,000,000","104,000,000","70,000,000",-,-,"93,500,000","30,000,000","13,000,000","240,000,000","230,000,000","141,100,000","215,000,000","143,000,000","217,000,000","431,600,000","336,900,000","1,055,000,000","1,581,000,000","732,000,000","453,000,000","386,000,000"
資本的収入,,,,,,,,,"776,633","62,000,000","35,n0,000",-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-
出資金,,,,,,,,,,,,,,,,,"11,000,000",-,-,-,-,-,-,-,-,-,-
貸付金戻入,,,"367,356",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
補助金,,,"3,600,000",-,-,-,-,-,-,-,-,"1,394,280",-,-,-,-,-,-,-,-,-,-,-,"16,000,000",-,-,-
固定資産売却代金,,,,,,,,,,,,,,,,,,,,,"1,993,659",-,"106,258,812","112,261","67,685",-,"156,356"
他会計負担金,,,,,,,,,,,,,,,"586,000","703,000","996,000","600,000","2,035,000","2,400,000","2,700,000","13,500,000","10,400,000","2,800,000","10,700,000","11,100,000","13,900,000"
その他資本的収入,,,,,,,,,,,,"261,000","2,692,204","25,276","475,000","215,061",-,-,-,"10,034,931","4,020,000","420,941",-,-,"9,000",-,-
工事負担金,,,,"700,000","398,000","800,000","6,900,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"21,957,000","10,928,000"
温泉事業収入,,,,,,,,,"237,590",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
資本的収入,,,,,,,,,"237,590",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
合計,"17,028,053","20,000,000","33,967,356","40,700,000","70,398,000","100,800,000","66,900,000","104,000,000","71,014,223","62,000,000","35,110,000","95,155,280","32,692,204","13,025,276","241,061,000","230,918,061","153,096,000","215,600,000","145,035,000","229,434,931","440,313,659","350,820,941","1,171,658,812","1,599,912,261","742,776,685","486,057,000","410.984,356"
資本的支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
水道事業支出,"9,224,988","45,688,443","57,210,914","58,051,313","107,133,619","157,047,716","161,217,396","161,274,473","134,730,616","106,104,420","143,055,397","233,109,707","102,720,469","106,232,198","322,601,477","443,232,975","266,959,639","326,368,967","305,614,585","387,224,863","565,148,439","555,101,430","1,507,986,862","1,966,942,787","920,164,205","681,423,074","614,602,348"
