,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38
歳入の部,,,,,,,,,,,,,,,,
財産収入,"21,517","23,162","27,028","15,562",-,-,-,-,-,-,-,一,-,-,-,-
財産収入,"21,517","23,162","27,028","15,562",-,-,一,-,-,-,-,-,-,-,-,-
積立金収入,"21,517","23,162","27,028","15,562",-,-,-,-,-,-,-,-,一,-,一,-
使用料及び手数料,"39,707,187","64,832,755","63,790,446","89,175,671","116,038,124","135,261,100","143,722,372","141,718.335","144,146,723","139,420,129","166,963,861","217,475,462","256,200,155","304,047,121","381,519,685","384,937,097"
使用料,"39,492,650","64,510,302","63,537,616","88,846,874","115,671,335","134,779,108","143,123,910","141,259,388","143,610,912","138,941,972","166,527,971","216,861,831","255,594,724","303,195,675","380,422,265","383,875,969"
入院料,,,,,,,,,"57,032,465","54,247,277","71,288,557","108,246,077","118,802,531","136,220,676","157,305,040","148,706,400"
函館病院入院料,"12,121,475","18,979,357","25,255,073","36,295,762","48,286,209","50,862,929","57,568,341","55,490,482",-,一,-,"84,218,181","90,449,553","99,304,235","116,751,703","109,898,355"
柏木病院入院料,,,,,,,,,,,,"23,423,546","28,061,858","36,718,081","40,295,737","38.377,673"
康生病院入院料,,,,,,,,,,,,"604,350","291,120","198,360","257,600","430,372"
薬価収入,,,,,,,,,"15,857,058","40,005,217","36,170,636","32,028,670","44,954,643","61,270,586","96,497,173","112,749,911"
函館病院薬価収入,"4,620,353","8.173,066","6,763,840","8,283,470","9,469,819","11,568,070","12,872,540","14,499,241",-,-,-,"28,630,341","39,621,212","50,957,134","80,866,483","92,158,409"
柏木病院薬価収入,,,,,,,,,,,,"3,056,792","5,031,465","10,118,559","15,381,936","20,243,974"
康生病院薬価収入,,,,,,,,,,,,"187,481","163,1∠14","76,453","82,133","170,754"
赤川診療所薬価収入,,,,,,,,,,,,"154,056","138,822","118,440","166,621","176,774"
処置料,,,,,,,,,"47,637,349","29,482,260","33,278,642","35,022,730","47,172,265","56,440,565","68,111,856","68,883,633"
函館病院処置料,"18,118,639","30,379,168","24,257,105","26,253,761","35,723,754","49,353,260","48，158,678","47,727,894",-,-,-,"34,175,552","45,906,470","55,073,569","66,196,194","67,514,720"
柏木病院処置料,,,,,,,,,,,,"838,693","1,262,201","1,363,466","1,913,858","1,323,665"
康生病院処置料,,,,,,,,,,,,,,,,"44,352"
赤川診療所処置料,,,,,,,,,,,,"8,485","3,594","3,530","1,804",896
手術料,"3,869,287","5,786,702","6,261,136","8,783,364","10,629,005","10,702,595","10,850,297","9,558,143","8,284,380",-,-,-,-,一,-,-
診察料,,,,,,,,,"1,107,572","1,426,142","7,609,007","15,588,274","14,628,043","16,559,164","20,090,574","18,995,783"
函館病院診察料,"762,896","1,192,010","1,000,463","1.047,494","910,460","1,139,995","1,199,820","1,283,606",-,-,-,"15,084,750","14,110,566","15,959,564","19,384,110","18,248,095"
柏木病院診察料,,,,,,,,,,,,"196,177","303,871","371,967","391,440","405,533"
康生病院診察料,,,,,,,,,,,,,,,,"8,288"
赤川診療所診察料,,,,,,,,,,,,"307,347","213,606","227,633","315,024","333,867"
暖房料,,,,,,,,,"6,855,175","7,161,575","8,549,503","9,916,051","12,303,926","11,130,121","12,596,764","9,746,907"
函館病院暖房料,,,,"5,664,320","6,109,186","6,166,867","6,367,255","6,504,969",-,-,-,"7,957,365","9,497,038","7,754,350","9,346,045","6,945,293"
柏木病院暖房料,,,,,,,,,,,,"1,933,328","2,786,809","3,356,505","3,226,761","2,779,187"
康生病院暖房料,,,,,,,,,,,,,,,,"4,320"
赤川診療所暖房料,,,,,,,,,,,,"25,358","20,079","19,266","23,958","18,107"
看護料,,,,,,,,,"6,836,913","6,619,501","9,631,626","16,060,029","17,733,316","21,574,563","25,820,858","24,229,882"
函館病院看護料,,,,"2,518,703","4,542,902","4,985,392","6,106,979","6,195,053",-,-,-,"13,828,778","15,025,136","17,517,120","21,050,492","19,723,780"
柏木病院看護料,,,,,,,,,,,,"2,231,251","2,708,180","4,057,443","4,770,366","4,481,580"
康生病院看護料,,,,,,,,,,,,,,,,"24,522"
その他使用料,,,,,,,,,,,,,,,,"563,453"
函館病院その他使用料,,,,,,,,,,,,,,,,"563,453"
手数料,"214,537","322,453","252,830","328,797","366,789","481,992","598,462","458,947","535,811","478,157","435,890","613,631","605,431","851,446","1,097,420","1,061,128"
処方箋料昭和32ｮﾘ文書料,"7,134","12,878","3,797","12,227","21,263","20,002","25,415","26,242","30,161","449,838","395,902","568,220","548,155","冐9,065","1,029,699","1,026,222"
函館病院文書料,,,,,,,,,,,,"543,620","526,355","757,365","990,749","995,762"
柏木病院文書料,,,,,,,,,,,,"15,800","14,100","17,300","27,750","25,460"
康生病院文書料,,,,,,,,,,,,,,,,０
赤川診療所文書料,,,,,,,,,,,,"8,800","7,700","4,400","11,200",5.000
診断書料,"207,403","309,575","249,033","316,570","345,526","379,834","478,822","409,371","469,263",-,-,-,-,-,-,-
消毒料昭和32ｮﾘ諸手数料,,,,,,"66,880","77,921","6,090","16,347","28,319","39,988","45,411","57,276","72,381","67,721","34,906"
函館病院諸手数料,,,,,,,,,,,,"37,140","49,136","62,952","57,657","28,282"
柏木病院諸手数料,,,,,,,,,,,,"6,441","7,960","9,279","8,834","5,454"
康生病院諸手数料,,,,,,,,,,,,"1,830",180,150,"1,230","1,170"
赤川診療所諸手数料,,,,,,,,,,,,,,,,０
手数料,,,,,,"15,276","16,304","17,244","20,040",-,-,-,-,-,-,-
国庫支出金,,,,"1,200,000","1,788,000",-,-,-,"591,968","2470,779",０,-,-,-,-,-
国庫補助金,,,,"1,200,000","1,788,000",-,-,-,"591,968","2,170,779",０,-,-,-,-,-
病院費補助金,,,,"1,200,000","1,788,000",-,-,-,"591,968","2,170,779",０,-,-,-,-,-
道支出金,,,,"157,200","307,816","264,000",０,-,-,-,-,"1,868,660","1,849,807","2,215,227",０,"2,926.116"
道補助金,,,,"157,200","307,816","264,000",０,-,-,-,-,"1,868,660","1,849,807","2,215,227",０,"2,926,116"
看護婦学校補助金,,,,"157,200","307,816","264,000",０,-,-,-,-,"1,868,660","1,849,807","2,215,227",０,"2,926,116"
