,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
教育手数料,"312,200","333,400","517,050","498,100","503,750","449,850","472,000","469,000","472,150","439,462","464,860","1,113,750","1,608,000","1,684,000","1,589.000","2,286,350"
民生手数料,,,"3,200","5,350","5,050","4,980","7,150","4,850","4,300",500,０,０,０,０,０,０
商工手数料,"402,950","417,150","586,850","1,424,450","1,809,270","1,852,460","2,185,975","2,542,625","2,356,615","2,185,400","2,631,140","6,715,540","8,106,035","7,369,185","8,100,990","9,095,090"
国庫支出金,"905,348,140","1,093,368,307","1,289,846,027","1,426,794,112","1.659,611,125","2,060,576,543","2,405,294,945","2,732,903,293","3,531,127,707","4,978,962,834","6,507,711,638","8,016,408,889","9,283,552,162","10,621,266,024","11.996.216,020","13.341,014,275"
国庫負担金,"508,151,385","640,638,421","733,872,735","882,417,774","1,018,329,608","1,253,436,298","1.556,991,502","1,731,756,496","2,272,944,548","3,208,483,113","4,335,956,216","5,897,238,850","6,916,653,219","7,951,989,678","8.715,258,483","9,322,840,187"
災害復旧費負担金,"5,123,734","43,519,932","26,856,685","30,762,823","38,956,462","25,556,316","22,784,778","19,258,400","77,592,629","94,324,123","156,167.165","63,392,846","64,704,800","32,153,600","48,366,400","77,797,520"
民生費負担金,"373,394,809","435,569,424","516,848,554","666,971,029","781,668,956","1,025,639,495","1,278,015,333","1,459,699,541","1,916,713,712","2,659,784,827","3,580,035,719",",138,433,554","5,843,880,619","6,780,732,489","7,605,814,050","8,196,150,628"
衛生費負担金,"102,036,297","127,900,965","147,211,802","144,673,895","157,894,928","168,706,014","181,046,992","173,146,988","199,648,077","202,242,817","287,913,083","290,478,275","290,062,004","295,819,005","251,323,885","210,627,494"
農林水産費負担金,"70,400","18,000","24,600","80,000","144,500","36,000",０,０,０,０,０,-,-,-,-,-
教育費負担金,"27,526,145","33,630,100","42,931,094","39,930,027","39,664,762","33,498,473","75,144,399","79,651,567","78,990,130","252,131,346","311,840,249","404,934,175","718,005,796","843,284,584","809,754,148","838,264,545"
国庫補助金,"390,736,447","435,537,568","539,109,566","531,908,342","618,805,543","783,413,119","818,885,720","971,047,091","1,219,955,290","1,730,583,563","2,091,839,484","2,015,270,755","2,250,241,004","2,565,123,666","3,141,388,511","3,780,705,119"
総務費補助金,,,"1,415,000",-,"1,152,000","15,241,000","241,000","241,000","241,000","741,000","1,417,000","1,161,000","428,000","426,000","400,000",-
民生費補助金,,"14,080,000","3,581,000","22,713,000","127,500",-,"1,500,000","2,500,000","34,271,516","53,596,000","109,067,000","935,000","269,000","546,440","11,161,455","43,131,000"
土木費補助金,"156,123,000","177,423,000","278,544,098","240,135,140","313,428,454","457,935,916","509,376,411","647,228,853","857,481,666","1,187,422,379","1,377,725,666","1,450,448,238","1,572,178,987","1,801,279,214","2,211.175,133","2,707,737,876"
教育費補助金,"14,267,553","15,122,289","18,549,970","20,815,417","38,945,853","22,191,315","23,391,235","25,952,427","42,390,195","78,621,877","161,509,781","104,162,354","179,794,117","220,866,531","378,437,158","459,691,461"
農林水産費補助金,,,,,,"686,640",-,-,-,-,一,-,-,"8,765,790","5,216,000","5,236,000"
労働費補助金,"217,965,894","224,952,279","230,286,498","247,324,785","260,715,333","279,759,314","282,097,615","291,804,446","265,270,590","312,686,460","367,161,076","452,648,345","490,360,518","518,193,332","523,178,997","547,364,986"
