,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　51,昭　和　52,昭　和　53,昭　和　54,昭　和　55
議会費,"63.336,866","68,190,275","78,995,004","77,238,976","92,759,529","101,012.717","114,452,705","137,262,114","161,379,286","250,339,523","354,563,319","271,856,294","293,794,992","295,089,109","316,895,457","321,005,844"
議会費,"63,336,866","68,190,275","78,995,004","77,238,976","92,759,529","101,012,717","114,452,705","137,262,114","161,379,286","250,339,523","354,563,319","271.856,294","293,794,992","295,089,109","316,895,457","321,005,844"
議会費,"63,336,866","68,190,275","78,995,004","77.238,976","92,759,529","101,012,717","114,452,705","137,262,114","161,379,286","250,339,523","354,563,319","271,856,294","293,794,992","295,089,109","316,895,457","321,005,844"
総務費,"508,562,778","458,250,356","590,600,438","699,571,799","1,002,620,632","1,301,240,992","1,368,746,314","1,322,019,528","1,503,701,453","2,182,843,829","3,241,629,277","4,284,186,306","885,035,106","2,390,710,115","2,506,918,848","4,025,909,315"
総務管理費,"328,091,287","255,817,697","362,017,166","420,908,741","583,340.090","586,649,277","734,268,701","856,903,267","1,003,832,423","1,567,009,387","2,361,521,071","3,216,226,121","580,116,140","1,519,209,290","892,753,262","892,753,262"
一般管理費,"256,869,302","179,808,278","246,607,749","313,230,512","450,033,337","401,996,989","478,688,015","573,557,136","666,309,722","824,796,903","1,185,202,738","2,151,636,448","183,995,855","195,666,819","274,628,307","279,167,991"
文書広報費　昭和43ｮﾘ文書費,"5,603,835","5,548,626","5,813,535","6,182,032","1,898,511","2,846,803","3,577,257","5,932,370","■ 13,676,361","22,335,370","22,036,769","17,353,724","9,479,627","18,192,939","17,003,386","11,316,155"
財政管理費,"1,953,716","2,043,623","2,275,558","2,507,608","2,798,773","2,981,984","3,147,351","3,789,091","4,755,798","8,236,664","9,593,359","10,230,473","9,168,759","9,594,603","10,166,749","12,252,480"
会計管理費,"937,516","1,253,496","1,297,366","1,215,905","1,141,758","1,436,814","1,083,406","1,354,508","1,511,407","1,939,672","2,512,124","2,511,594","3,315,070","3,068,008","3,708,962","3,460.737"
財産管理費,"16,203,096","14,714,851","16,336,118","31,038,350","16,034,301","47,666,836","85,001,499","68,924,640","73,140,582","40,045,663","25,609,422","70,327,559","42,667,050","53,573,241","43,623,166","119,962,008"
造林事業費,"5,694,772","5,869,025","6,433,856","6,827,958","7,296,104","7,365,440","9,569,344","10,600,378","10,000,589","45,688,406","14,850,518","9,766,952","9,622,706","9,935,788","12,424,209","20,599,549"
広報費,,,,,"8,161,953","8,932,722","10,535,100","12,759,950","12,415,160","17,045,602","27,625,656","31,850,613","35,204,250","40,766,369","43,464,794","48,334,716"
市民生活推進費,"6,122,553","6,254,917","6,840,750","13,078,925","11,951,498","15,676,390","10,167,392","20,485,744","40,847,536","38,024,943","66,149,690","107,669,336","131,691,952","129,219,941","161,993,084","170,966,244"
青少年対策費　昭和48ｮﾘ婦人青少年対策費,,,,,"3,277,285","5,283,274","6,642,195","7,601,256","8,428,945","8,920,006","12,655,056",-,-,-,-,-
交通安全対策費,,,,,,,"10,209,547","12,720,149","16,388,320","23,629,910","43,973,604","50,615,013","21,273,706","24,011,203","27,521,803","26,875,621"
職員厚生費,"4,595,312","4,863.214","10,326,331","8,418,737","7,061,955","7,219,354","16,897,478","12,651,844","14,085,713","28,652,193","22,377,511","28,308,036","29,170,056","32,517,620","36,642,796","34,756,364"
職員会館費,,,,,,,,"15,732,946","16,911,863","19,383,536","24,067,770","26,570,891","9,258,096","7,078,569","7,732,140","9,881,576"
市勢振興費　昭和42ｮﾘ企画費,"803,602","4,915,060","3,908,477","2,350,977","6,639,957","12,241,268","16,675,768","17,370,201","12,715,140","16,423,824","14,403,456","14,865,074","13,057,382","11,967,899","13,741,940","15,342,247"
市民の船費,,,,,,,,,"8,101,413",-,-,-,-,-,-,-
市民のジェット費,,,,,,,,,,"1,832,918",-,-,-,-,-,-
湯川支所費,"661,583","798,942","964,365","1,093,663","13,102,788","15,722,495","21,016,538","25,021,155","28,436,770","36,077,416","58,469,467","84,504,294","9,740,942","4,369,526","4,929,775","5,198,000"
銭亀沢支所費,,,"1,518,412","21,074,440","38,419,093","38,809,477","43,538,599","49,988,996","56,414,692","66,699,482","91,609,650","116,751,074","3,508,398","4,082,980","4,246,678","4,208,159"
亀田支所費,,,,,,,,,,"192,404,803","578,798,931","440,581,464","22,088,799","22,449,900","25,991,349","41,404,962"
公平委員会費,"322,600","355,261","445,810","1,842,462","3,140,757","3,695.714","4,354,960","4,662,050","6,053,952","7,265,316","9,832,021","11,835,576","1,459,953","1,682,531","2,046,215","2,313,517"
恩給及び退職年金費,"8,224,503","8,588,353","9,131,921","9,637,499","10,761,227","11,355,537","11,788,441","12,605,281","13,590,309","17,079,346","24,228,504","40,484,146","44,839,312","48,667,393","48,529,727","50,519,766"
税外過年度支出金,"2,198,897","2,904,051","116,918","169,873","25,794",29.039,"69,799","267,264","7,113","478,377","1,703,252","327,554","504,448","993,041","119,148","90,999"
諸費　昭和41ｮﾘ財政調整基金積立金,"17,900,000","17,900,000","50,000,000","2,239,800","1,594,999","3,389,141","1,306,012","878,308","41,038","150,049,037","125,821,573","36,300","69,779","901,370,920","40,029,137","36,102,171"
徴税費,"127,661,465","135,441,133","155,073,302","171,626,602","185,395,028","201,727,577","226,692,841","254,553,658","285,595,814","344,736,008","485,220,733","591,555,259","123,318,996","141,932,316","140,823,055","198,002,440"
徴税費,"127,661,465","135,441,133","152,893,026","167,537,272","180,979,820","198,369,059","216,608,784","243,565,191","271,170,669","332,070,585","450,378,4∠13","564,278,511","94,300,257","117,908,021","120,997,782","146,353,759"
固定資産評価審査委員会費,,,,,,,"4,853,025","5,485,689","5,690,527","6,253,639","8,628,494","6,571,996","135,232","202,270","235,680","220,190"
税過年度支出金,,,"2,180,276","4,089,330","4,415,208","3,358,518","5,231,032","5,502,778","8,734,618","6,411,784","26,213.796","20,704,752","28,883,507","23,822,025","19,589,593","51,426,491"
戸籍住民登録費　昭和42ｮﾘ戸籍住民基本台帳費,"30,582,133","33,035,912","35,314,198","44,399,235","70,806,471","58,637,323","66,547,807","84,640,601","94,650,239","119,534,420","166,807,128","226,921,520","32,290,073","30,116,365","30,665,052","56,509,491"
戸籍住民登録費　昭和42ｮﾘ戸籍住民基本台帳費,"30,582.133","33,035,912","35,314,198","44,399,235","70,806,471","58,637,323","66,547,807","84,640,601","94,650,239","119,534,420","166,807,128","169.499,071","15,083,556","17,992,438","18,091,362","30,354,666"
住居表示整備費,,,,,,,,,,,,"57,422,449","17,206,517","12,123.927","12,573,690","26,154,825"
選挙費,"8,741,310","14,198,507","20,351,488","17,126,215","17,234,887","21,596,786","21,922,138","39,875,929","30,740,120","27,974,467","66,805,144","74,332,636","31,618,410","21,149,793","71,480,254","59,352,355"
選挙管理委員会費,"8,303,960","9,283,114","11,865,313","11,356,902","10,673,410","13,933,642","18,818,574","21,517,340","19,502,678","27,038,329","40,461,107","48.965,295","3,680,673","3,273.217","4,604,632","3,779,909"
公明選挙推進費昭和41選挙に関する常時啓発費,"317,350","383,916","381,145","353,330","308,645","362,000","362,000","362,000","362,000","654,000","500,000","712,000","712,000","712,000","712,000","750,000"
北海道知事及び道議会議員選挙費,,,,"2,771,000",-,-,-,"5,721,910",-,-,-,-,-,-,"18,679,149",-
地方選挙準備費,,,"2,123,000",-,-,-,"2,741,564",-,-,-,"8,033,229",-,-,"16,925,018",-,-
函館市長及び市会議員選挙費,,,,"2.644,983",-,-,-,"4,242,594",-,-,-,-,-,-,"17,503,044",-
参議院議員選挙費,,"4,335,477",-,-,"5,635,718",-,-,"7,809,585",-,-,"17,147,805",-,"26,953,737",-,-,-
衆議院議員及び参議院議員選挙啓発推進費,,"196,000","220,000",-,"227,000","206,400",-,"222,500","211,000",-,"276,000","272,000","272,000",-,"271,000","273,000"
衆議院議員選挙及び最高裁裁判官国民審査費,,,"5,577,369",-,-,"6,796,823",-,-,"10,139,166",-,-,"23,500,074",-,-,"29,710,429","54,383,714"
農業委員会委員選挙費,,,"184,661",-,-,"297,921",-,-,"445,903",-,-,-,-,"239,558",-,-
渡島海区漁業調整委員会委員選挙費,"120,000",-,-,-,"390,114",-,一,-,"79,373","282,138","387,003","883,267",-,-,-,"165,732"
統計調査費,"5,946,161","10,839,209","7,498,553","6,746,458","9,254,339","10,078,621","23,713,681","11,419,821","14,716,971","20,305,870","25,290,917","27,617,369","7,029,401","20,616,970","20,976,809","95,540,079"
統計調査費,"5,946,161","10,839,209","7,498,553","6,746,458","9,254,339","10,078,621","23,713,681","11,419,821","14716,971","20,305,870","25,290,917","27,617,369","7,029,401","20,616,970","20,976.809","95,540,079"
監査委員費,"7,540,422","8,917,898","10,345,731","10,554,163","11,204,451","12,650,674","15,484,829","16,940,045","19,675,952","29,096,337","33,235,765","38,655,331","4,705,354","4,953,868","5,102,385","5,682,965"
監査委員費,"7,540,422","8,917,898","10,345,731","10,554,163","11,204,451","12,650,674","15,484,829","16,940,045","19,675,952","29,096,337","33,235,765","38.655,331","4,705,354","4,953,868","5,102,385","5,682,965"
市民会館建設費　昭和46ｮﾘ市民会館費,,,,"28,210,385","125,385,366","409,900,734","229,814,400","54,368,883","52,956,711","71,522,766","99,007,029",昭和50年ｮﾘ教1,r費へ,,,
市民会館建設調査費,,,,"3,788,000",-,-,-,-,-,-,-,,,,,
市民会館建設費,,,,,"80,081,458","406,407,589","183,645,738",-,-,-,-,,,,,
市民会館費,,,,,,,"46,091,336","54,368.883","52,956,711","71,522,766","99,007,029",,,,,
市民会館建設基金積立金,,,,"24,422,385","45,303,908","3,493,145",77.326,-,-,-,-,,,,,
庁舎建設費,,,,,,,"50,301,917","3,317,324","1,533,223","2,664,574","3,741,490","108,878,070","105,956,732","652,731,513","1,449,458,928","2.705,283,723"
庁舎建設費,,,,,,,,,,,,"102,624,865","77,452,544","3,010,271","190,085,910","1,678,354,000"
庁舎建設基金積立金,,,,,,,"50,301,917","3,317,324","1,533,223","2,442,459","3,525,697","5,968,921","21,398,452","212,090,042","1,259,373,018","1,026,429,723"
亀田支所庁舎建設準備費,,,,,,,,,,,,,"6,837,418","437,621,677",-,-
