,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
歳入の部,,,,,,,,,,,,,,,,
国民健康保険税昭和44ｮﾘ保険料,"134,957,440","166,342,090","186,244,280","219,965,350","259,787,230","357,520,140","410,933,520","463,814,500","528,594,077","594,814,140","1,100,359,070","1,357,995,230","1,671,094,670","2,479,781,195","2,812,681,100","3,443,243,303"
国民健康保険税昭和44ｮﾘ保険料,"134,957,440","166,342,090","186,244,280","219,965,350","259,787,230","357,520,140","410,933,520","463,814,500","528,594,077","594,814,140","1,100,359,070","1,357,995,230","1,671,094,670","2,479,781,195","2,812,681,100","3,443,243,303"
国民健康保険税,,,,,,,,,,"42,499,690",-,-,-,-,-,-
国民健康保険税,,,,,,,,,,"42,499,690",-,-,-,-,-,-
使用料及び手数料,"303,270","408,300","445,640","419,880","418,350","449,910","498,070","513,150","547,780","622,100","746,850","2,392,320","2,621,230","2,845,310","2,807,150","2,904,640"
手数料,"303,270","408,300","445,640","419,880","418,350","449,910","498,070","513,150","547,780","622,100","746,850","2,392,320","2,621,230","2,845,310","2,807,150","2,904,640"
国庫支出金,"149,777,967","237,079,502","261,625,816","374,881,113","521,099,283","588,082,921","689,228,956","745,072,684","1,013,340,858","1,410,803,890","2,305,760,000","3,188,500,613","3,771,151,203","4,554,934,796","5,271,610,324","5,842.961,724"
国庫負担金,"114,726,888","176,567,097","229,014,816","347,671,113","470,615,283","518,375,921","610,881,956","664,468,684","903,289,858","1,212,208,890","1,841,860,000","2,587,149,613","3,093,500,203","3,713,538,796","4,255,194,324","4,749,132,724"
国庫補助金　含調整交付金,"35,051,079","60,512,405","32,611,000","27,210,000","50,484,000","69,707,000","78,347,000","80,604,000","n0,051,000","198,595,000","463,900,000","601,351,000","677,651,000","841,396,000","1,016,416,000","1,093,829,000"
道支出金,,,,,,"240,000","238,600","263,000","2,699,000",-,-,-,-,"3,657,000","9,223,000","10,961,000"
道補助金,,,,,,"240,000","238,600","263,000","2,699,000",-,-,-,-,"3,657,000","9,223,000","10,961,000"
繰越金,"4,987,292",-,"26,977,520","14,265,924",０,"2,268,046","62,812,728","142.938,212","182,488,208","155,564,529","180,343,048","239,836,583","23,976,200",０,０,０
繰越金,"4,987,292",-,"26,977,520","14,265,924",-,"2,268,046","62,812,728","142,938,212","182,488,208","155,564,529","180,343,048","239,836,583","23,976,200",０,０,０
繰入金,"26,843,967",０,０,"50,970,603","56,000,000","70,450,000","68,555,000","75,245,000","78,806,000","107,748,000","158,617,000","191,360,000","226,520,000","265,373,000","292,228,000","269,408,000"
一般会計繰入金,"26,843,967",-,０,"50,970,603","56,000,000","70,450,000","68,555,000","75,245,000","78,806,000","107,748,000","158,617,000","191,360,000","226,520,000","265,373,000","292,228,000","269,408,000"
諸収入,"171,816","100,319","3,638,997","771,055","1,404,213","2,738,490","8,263,597","10,948,840","9,017,792","58,037,936","7,909,305","6,052,215","12.585,692","17,879,072","26,690,789","32,005,190"
延滞金,760,"3,560","30,960","1,800",55.870,"3,800","3,600","2,500","3,000","235,600","1,016,100","440,910","123,680","115,510","144,610","115,500"
旧銭亀沢村歳計現金受入金,,,"3,481,497",-,-,-,-,-,-,-,-,-,-,-,-,-
