,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
臨床研修費国庫補助金,,,,,,"1,034,000",-,-,-,-,-,一,-,-,-,-
災害復旧費国庫補助金,,,,,"2,563,000",-,-,-,-,-,-,-,一,-,-,-
受託工事収益,,,,,,,,,"32,000,000",-,-,-,-,-,-,-
職員住宅建設受託工事収益,,,,,,,,,"32,000,000",-,-,-,-,-,-,-
患者外給食収益,"12,315",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
患者外給食収益,"12,315",-,-,一,-,-,-,-,-,-,-,-,-,-,-,-
その他医業外収益,"1,970,901","3,569,639","4,461.784","5,026,175","6,284,061","7,911,827","8,939,325","9,892,717","11,287,388","12,880,656","17,156,636","21,395,598","28,906,609","38,680,621","35,379,693","40,834,166"
その他医業外収益,"1,970,901","3,569,639","4.461,784","5,026,175","6,284,061","7,911,827","8,939,325","9,892,717","11,287,388","12,880,656","17,156,636","21,395,598","28,906,609","38,680,621","35,379,693","40,834,166"
特別利益,,,,,,,,,,,,,,"77,216,015","75,961,018","76,337,066"
他会計繰入金,,,,,,,,,,,,,,"72,260,000","72,260,000","72,260,000"
貯蔵品評価受入額,,,,,,,,,,,,,,"3,050,039","3,683,018","3,834,991"
固定資産売却益,,,,,,,,,,,,,,"1,221,820",-,-
過年度損益修正額,,,,,,,,,,,,,,684.156,"18,000","242,075"
収益合計,"540,186,842","647,606,424","705,107,743","845,499,395","1,001,993,412","1,165,638,983","1,459,957,161","1,619,257,685","2,076,540,733","2,266.382,452","3,152,359,357","3,718,209,995","4,338,117,970","4,888,186,558","5,526,937,752","6,078,625,614"
期間外収益,,"1,743,003","3,303,041","1,838,276","2.425,984","2,109,243","2,115,938","23,779,890","2,955,941","4,079,482","6,641,686","368,903,983","86,535,848",-,-,-
収益総計,"540,186,842","649,349,427","708,410,784","847,337,671","1,004,419,396","1,167,748,226","1,462,073,099","1,643,037,575","2,079,496,674","2,270.461,934","3,159,001,043","4,087,113,978","4,424,653,818","4,888,186,558","5,526,937,752","6,078,625,614"
歳出の部,,,,,,,,,,,,,,,,
病院事業費用,"535,307,309","657,771,405","767,671,231","853,308,353","1,090,242,761","1,309,362,614","1,594,951,299","1,792,611,445","2,147,617,636","2,589,233,026","3,306,491,022","3,731,483,905","4,038,660,707","4,357,440,699","4,910,548,248","5,615,801,983"
函館病院医業費用,"414,206,215","525,435,612","616,676,415","675,858,138","888,559,519","1,090,942,789","1,353,495,925","1,521,029,185","1,817,306,832","2,197,979,598","2,726,332,861","3,086,029,548","3,338,363,583","3,634,244,089","4,136,749,631","4,717,441,325"
給与費,"189,149,169","237,661,133","266,897,970","294,052.281","338,297,376","443,219,438","576,432,459","635,999.666","791,587,745","992,428,649","1,339,865,451","1,525,729,204","1,739,343,130","1,782,687,272","2,055,566,454","2,260,798,432"
材料費,"164,518,823","207,764,540","246,927,522","278,960,482","423,683,771","515,098,927","633,095,998","724,231,262","849,375,984","999.682,871","1,141,934,181","1,273,024,230","1,296,561,133","1,498,581,542","1,705,094,094","1,974,086,722"
経費,"34,873,845","47,228,019","57,646,877","64,761,110","77,168,285","78,570,264","88,256,032","97,155,425","110,791,621","133,372,843","176,466,319","204,173,541","215,149,763","240,304,745","257,043,204","317,182,261"
減価償却費,"24,149,220","31,892,010","34,473,954","35,702,917","47,141,154","51.631,436","51,183,448","55,436,518","58,504,605","60,622,529","63,077,555","71,885,754","76,332,377","90,965,752","99,051,511","156,764,977"
資産減耗費,"770,400",０,"9,474,732","139,505","413,358","87,846","978,176","1,628,114","923,979","4,746,126","510,045","4,167,796","414,075","1,637,847","2,318,697","538,780"
研究研修費,"744,758","889,910","1,255,360","2,241,843","1,855,575","2,334,878","3,549,812","6,578,200","6,122,898","7,126.580","4,479,310","7,049,023","10,563,105","20,066,931","17,675,671","8,070,153"
