,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
歳入の部,,,,,,,,,,,,,,,,
事業収益,"540,186,842","647,606,424","705,107,743","845,499,395","1,001,993,412",1.165.638.983,1.459.957.161,"1.619,257.685","2.076.540,733",2.266.382.452,"3,152,359,357","4,338,117,970","4,888,186,558","5,526,937,752","6,078,625,614","6,343,476,894"
函館病院医業収益,"452,920,274","549,027,277","602,562,620","697,881,922","851,682,402","1,007,576,119","1.278,747,890","1,431,057,419","1,815,035,577","2,039,453,412","2,751,073,975","3,722,027,059","4,152,975,828","4,705,022,985","5,184,731,452","5,408,654,266"
入院収益,"328,301,896","405,731,239","436,375,503","505,538,334","609,116,748",729.796.552,950.084.316,1.060.713.946,"1.382.312,597","1.555,498.899","2,158,647,758","2,883,166,996","3,225,164,045","3,561,445,578","3,858,882,956","3,939,747,076"
入院料,"135,869,889","172,209,948","184,386,623","195,962,404","213,212,212",228.713.792,292.004.450,294.560.872,"406.181,233",424.974.413,"733.629,182","1,006,192,432","1,(〕43,551,118","1,188,010,597","1,215,260,851","1,178,917,331"
薬価料,"112,995,076","138,006,131","150,876,721","191,475,018","253,566,987",311.563.596,391.743.042,"435,823,014","523,085,154","596,984,298","654,468,095","783,795,076","938,334,600","991,770,990","1,110,094,178","1,194,333,815"
処置料,"44,931,758","50,722,711","56,103,530","69,154,921","89,126,404",131.209.343,186.345.202,"245.086,881","323,182,368","378,777,266","526,341,758","695,053,082","790,145,214","859,267,090","995,991,173","1,039,682,553"
診察料,"534,541","864,851","850,725","913,002","1,016,244",1.133.300,1.404.177,"1,482,650","2.035,883","1.765,530","2,789.643","5,129,301","5,231,630","6,153,503","5,903,794","5,155,205"
暖房料,"8,164,467","8,363,164","8,468,977","8,997,040","8,710,209","&, 532.252","9,635,814","9.383,793","9,437,907","9,449,842","10,468,268","12,044,496","･12,091,092","11,791,653","12,221,472","11,894,587"
看護料,"25,743,390","35,507,647","35,634,319","38,992,335","43,434,145","47.606,141","68,919,595","74,342,368","118,337,032","143,481,931","230,903,500","380,879,155","435,710,322","504,361,370","519,324,388","509,719,310"
文書料,"62,775","56,787","54,608","43,614","50,547","38,128","32,036","34,368","53,020","65,619","47,312","73,454","100,069",90.375,"87,100","44,275"
外来収益,"119,400,097","137,848,058","158,851,093","186,286,465","234,341,590","268,827,185","316,036.406","354,790,351","417,651,974","462,068,551","560,984,394","788,430,418","869,952,679","1,080,329,716","1,253,776,389","1,403,090,997"
薬価料,"68,537,857","75,934,311","89,558,457","108,448,673","143,305,067","168,251,280","201,906,228","226,280,976","259,466,865","289,448,688","309,751,160","431,068,363","482>745,659","561,081,564","672,489,332","763,632,412"
処置料,"27,272,320","33,550,368","40,389,760","47,219,577","54,774,152","64.316,202","72,822,044","82,016,372","100,582,379","110,492,434","146,882,432","201,677,521","226,002,340","323,591,678","373,302,357","433,388,841"
診察料,"21,908,776","26,650,839","27,093,004","28,720,850","34,310,418","34,213,281","39,243,411","44,200,396","55,219,727","59,593,167","101,319,670","151,988,996","157,546,824","191,884,009","204,087,455","201,964,635"
暖房料,"1,625,625","1,666,292","1,765,228","1,857,459","1,904,064","1,978,770","2,037,833","2,259,061","2,336,928","2,489,169","2,971,714","3,509,166","3,370,342","3,421,790","3,627,720","3,842,059"
文書料,"55,519","46,248","44,644","39,906","47,889","67,652",26.890,"33,546","46,075","45,093","59,418","186,372","287,514","350,675","269,525","263,050"
その他医業収益,"5,218,281","5,447,980","7,336,024","6,057,123","8,224,064","8,952,382","12,627,168","15,553,122","15,071,006","21,885,962","31,441,823","50,429,645","57,859,104","63,247,691","72,072,107","65,816,193"
公衆衛生活動収益,"621,178","533,014","2,913,314","1,624,657","2,389,093","1,860,212","1,743,512","1,613,640","145,251","2,507,294","3,310,705","4,753,830","6,703.355","7,879,863","11,728,293","8,924,684"
医療相談収益,"2,862,946","3,192,198","2,972,494","2,774,238","3,512,893","4,399,444","8,060,798","11,000,716","11,500,539","14,843,065","20,131,526","31.164,075","32,940,649","35,962,908","39,114,969","35,675,949"
