,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　51,昭　和　52,昭　和　53,昭　和　54,昭　和　55
屎尿処理費,"36,685,212","34,394,489","107,362,134","66,005,390","58,493,073","83,224,345","69,959,563","78,660,061","88,667,493","125,837,368","309,869,508","314,778,181","346,998,745","394,161,874","488,121.801","405,101,882"
職員詰所建設費,,,,,,,,,,,,,"9,599,390","82,280,000","82,040,000",-
下水道費,"75,257,054","99,224,203","107,541,460","126,544,985","156,000,000",-,-,-,-,-,-,-,-,-,-,-
下水道事業繰出金,"75,257,054",99.224.203,"107,541,460","126,544,985","156,000,000",-,-,-,-,-,-,-,-,-,-,-
病院費,"13,844,897","10,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-
病院事業会計補助金,"13,500,000","10,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-
伝染病患者収容委託費,"344,897",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
労働費,"386,615,742","415,868,330","451,794,832","484,424,666","518,616,019","584,105,659","592,157,746","751,417,707","646.177,874","756,935,366","974,823,816","1,206,434,693","1,178,903,342","1,243,999,468","1,325,107,836","1,354,389,445"
失業対策費,"373,474,419","399,145,969","429,568,658","460,372,111","492,050,014","554,590,926","559,042,142","638,320,258","531,650,887","661,678,603","828,650,204","1,015,865,358","1,079,904,888","1,134,179,792","1,153,906,455","1,218,503,377"
失業対策事業費,"373,474,419","399,145,969","429,568,658","460,372,111","492,050,014","554,590,926","559,042,142","638,320,258","531,650,887","661,678,603","828,650,204","1,015,865,358","1,079,904,888","1,134,179,792","1,153,906,455","1,218,503,377"
労働諸費,"13,141,323","16,722,361","22,226,174","24,052,555","26,566,005","29,514,733","33,115,604","113,097,449","114,526,987","95,256,763","146,173,612","190,569,335","98,998,454","109,819,676","171,201,381","135,886,068"
労働諸費　昭和47ｮﾘ労働総務費,"10,220,000","13,270,000","18,270,000","18,470,000","20,811,334","22,970,166","25,249,400","40,375,231","49,800,048","68,394,533","106,122,923","143,315,655","91,197,751","96,789,813","161,557,034","125,226,716"
労働会館費,"2,921,323","、3,452,361","3,956,174","5,582,555","5,754,671","6,544,567","7,866,204","8,724,142","10,001,508","12,582,029","17,808,005","20,315,604","1,759,710","8,723,881","3,553,000","3,716,946"
職業訓練センター建設費,,,,,,,,,"41,469,165",-,-,-,-,一,-,-
