,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
歳入の部,,,,,,,,,,,,,,,,
事業収入,"1,756,636,830","2.133,817,830","2,688,527,520","3,091,853,360","3,855,149,020","4,680,159,490","5,591,854,290","6,327,311,450","8,042,430,250","11,014,235,700","14,374,920,150","15.979,564,550","16,357,153,000","17,180,468,700","17,983,667,500","16,436,879,500"
入場料,"4,494,530","4,877,430","6,354,120","7,709.960","8,402,220","8,849,490","10,728,390","11,921,850","12,753,150","13,454,300","16,520,550","40,429,550","37,749,800","36.480,600","48,601,000","43,949,400"
車券発売代金,"1,752,142,300","2,128,940,400","2,682,173,400","3,084,143,400","3,846,746,800","4,671.310,000","5,581,125.900","6,315,389,600","8,029,677,100","11,000,781,400","14,358,399,600","15,939,135,000","16,319,403.200","17,143,988,100","17,935,066,500","16,392,930,100"
諸収入,"3,565,659","4,609,100","5.258,791","5,570,422","7,207,950","9.645,558","9,192,816","11,250,482","14,388,969","19,926,369","24,006,214","27,090,249","25,449,770","60,148,625","85,350,065","127,260,964"
財産収入,"590,060","638,408","501,540","305,360",387.526,"371,044","371,000","364,410","420,681","788,493","1,152,088","1,751,804","1,888,043","35,544,170","59,357,549","51,165,969"
使用料,213.440,"211,600","213,440","213,440",-,-,-,-,-,-,-,-,-,-,-,-
建物貸付収入昭和43ｮﾘ財産貸付収入,"355,020","389,164","250,456","91,920","387,526","371,044","371,000","364,410","420,681","788,493","1.152,088","1,751,804","1,888,043","35,544,170","59,357,549","51,165,969"
納付金　土地貸付収入,"21,600","37,644","37,644",-,-,-,-,-,-,-,-,-,-,-,-,-
雑入,"2,975,599","3,970,692","4,757.251","5.265,062","6,820,424","9,274,514","8,821,816","10,886,072","13,968,288","19,137,876","22,854,126","25,338,4∠15","23,561,727","24,604,455","25,992,516","76,094,995"
払昃時効収入,"2,661,200","3,453,210","4,032,490","4.537,120","6,074,820","8,310,990","7,621,090","9,403,620","12,583,970","16,834,960","19,720,060","19,813,160","19,132,390","20,174,840","18,461,800","18,390,060"
投票事故収入,"61,980","43,590",103.840,"22,650",52.550,"63,010","89,290","89,200","161,880","158,850","341,340","122,140","88,330","134,360","63,770","63,650"
広告収入,"39,123","39,123","58,320","18,900","15,120","17,280","17,280","7,560","9,555","26,819","38,055","35,995","39,595","39,665","30,700","23,133"
預金利子,"148,844","155,479","238,151","264,545","339,173","421,724","814,317","856,884","694,890","1,087,501","1,850,083","1,716,519","1,310,561","709,664","1,144,350","2,944,797"
雑入,"64,452","279,290","324,450","421,847","338,761","461,510","279,839","528,808","517,993","1,029,746","904,588","3,650,631","2,990,851","3,545,926","6,291,896","54,673,355"
繰越金,"1,840,777","19,978,416","6,108,159","13,392,530","2,675,147","2,656,662","26,012,467","25,021,357","671,035","122,067,208","4,845,551","8,251,859","37,589,951","28,060,154","139,780.522","57,545,912"
