,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35
国有提供施設等所在市町村助成交付金,,,,,,,,,,,"238,000","229,000","234,000"
国有提供施設等所在市町村助成交付金,,,,,,,,,,,"238,000","229,000","234,000"
国有提供施設等所在市町村助成交付金,,,,,,,,,,,"238,000","229,000","234,000"
地方財産平衡交付金,,,"113,613,000","148,626,000","183,331,000","212,086,000",-,-,-,-,-,-,-
地方財産平衡交付金,,,"113,613,000","148,626,000","183,331,000","212,086,000",-,-,-,-,-,-,-
地方財産平衡交付金,,,"113,613,000","148,626,000","183,331,000","212,086,000",-,-,-,-,-,-,-
地方交付税,,,,,,,"135,825,000","99,047,000","108,216,000","157,419,000","170,234,000","181,215,000","216,106,000"
地方交付税,,,,,,,"135,825,000","99,047,000","108,216,000","157,419,000","170,234,000","181,215,000","216,106,000"
地方交付税,,,,,,,"135,825,000","99,047,000","108,216,000","157,419,000","170,234,000","181,215,000","216,106,000"
分担金及び負担金,"171,499",-,"2,770,691","5,803,278","471,762","4,691,843","3,463,133","4,645,885","2,793,438","3,330,485","3,345,671","11,132,640","8,782,245"
負担金,"171,499",-,"2,770,691","5,803,278","471,762","4,691,843","3,463,133","4,645,885","2,793,438","3,330,485","3,345,671","11,132,640","8,782,245"
受益者負担金　　昭和27負担金,"171,499",-,"2,139,790","5,803,278",471562,"4,691.843","3,463,133","4,645,885","2,793,438","3,330,485","3,345,671","11,132,640","8,782,245"
土地区画整理負担金,,,"630,901",０,-,-,-,-,-,-,一,-,-
使用料及び手数料,"26,544,666","49,277,327","59,157,032","68,141,099","103,042,607","116,045,835","117,954,716","122,558,284","143,011,616","143,828,846","147,027,677","116,089.344","119,527,875"
使用料,"14,204,160","25,796,335","27,084,403","30,223,073","44,779,731","53,602,762","56,947,340","57,782,610","66,296,911","63,347,038","66,001,108","32,071,024","33,754,244"
授業料,"2,418,340","3,521,710","2,959,220","3,784,190","6,842,912","7,217,170","7,869,100","8,161,400","9,807,100","10,402,000","10,755,600","10,862,600","10,687,000"
道路占用料,"1,942,572","2,030,662","2,100,930","1,844,286","2,144,476","3,616,170","3,483,143","3,201,795","3,257,321","3,071,042","2,449,466","2,250,254","2,288,897"
公園使用料,,,,,"400,478",一,-,-,-,-,-,-,-
港湾使用料,,,,,"6,300,116","9,001,816","8,720,758","8,048,415","10,052,635","4,361,454",一,-,-
物揚場使用料,"2,429,156","4,392,645","3,326,623","3,680,511",-,-,-,-,-,-,-,一,-
繋船料,"1,361,583","1,613,341","975,934","1,157,024",-,-,-,-,-,-,-,-,-
船舶塵芥運搬料,"18,888","24,468","3,610",０,-,-,-,-,-,-,-,-,-
柏木病院入院料,"2,609,300","5,488,065","6,794,038","9,352,933","12,964,231",-,-,-,-,-,-,-,-
康生病院入院料,"23,863","116,734","322,113","400,644","506,502",-,-,-,-,-,-,-,-
赤川診療所使用料,"69,139","364,575","261,091","217,689","228,083",-,-,-,-,-,-,-,-
社会労働使用料,,,,,,"6,238,472","6,609,311","6,474,376","6,486,077","5,381,463","5,662,901","6,270,040","6.658,095"
労働会館使用料,,,"237,729","761,560","859,650",-,-,-,-,-,-,-,-
保健衛生使用料,,,,,,"27,286,295","30,133,965","31,699,682","36,522,361","39,933,235","46,914,666","12,468,592","13,556,832"
保健所使用料,"641,816","3,210,278","2,635,633","2,216,711","4,714,585",-,-,-,-,-,-,-,-
火葬場使用料,"1,530,765","1,978,340","1,781,780","1,788,610","1,822,020",-,-,-,-,-,-,-,-
と場使用料,"501,500","1,433,830","2,165,530","2,008,150","3,000,860",-,-,-,-,-,-,-,-
消毒所使用料,"116,654","384,120","356,778","221,568","310,426",-,-,-,-,-,-,-,-
葬具使用料,"162,952","504,032","393,040","502,731","462,460",-,-,-,-,-,-,-,-
保育料,,,,"250,700","2,769,230",-,一,-,-,-,-,-,-
社会教育使用料,,,,,"278,670","119,049","46,863","155,842","171,417","197,844","218,475","219,538","563,420"
引揚者収容住宅使用料,,,,"1,085,901",-,-,-,-,-,-,-,-,-
