,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35
造林費補助,,,"182,990","104,790",-,-,-,-,-,-,-,-,-
生活保護費補助,"2,705,772","5,535,752","n,340,000","8,831,307",-,-,-,-,-,-,-,一,-
児童保護費補助,,"107,410",-,-,-,-,-,-,-,-,-,-,-
生活保護行政費補助,,,,"327,600",-,-,-,-,-,-,-,-,-
民生委員費補助,,"87,300","10,632",-,-,-,-,-,-,-,-,-,-
民生委員事務所費補助,,"100,000",-,-,-,-,-,-,-,-,-,-,-
養老院建築費補助　昭和26院費,,,"1,180,000","375,000",-,-,-,-,-,-,-,-,-
無料宿泊所費補助,,"1,462,500","345,000","383,500",-,-,-,-,-,-,-,-,-
保育所増改築費補助,,,"550,000",-,-,-,-,-,-,-,-,-,-
保育所設備費補助,,"506,900","518,000","1,140,000",-,-,-,-,-,-,-,-,-
警察費補助,"1,968,380",-,-,-,-,-,-,-,-,-,-,-,-
日雇労務者集合所建設費補助,"700,000","337,500",-,-,-,-,-,-,-,-,-,-,-
日雇労務者集合所維持経営費補助　聆25同所費,,"350,000","337,500",-,-,-,-,-,-,-,-,-,-
引揚者援護費補助,,"180,000",-,-,-,-,-,-,-,-,-,-,-
引揚者収容所建築費補助,,,"6,693,400",-,-,-,-,-,-,-,-,-,-
引揚者収容所補修費補助　聆26収容所費,"900,000","1,064.000","1,600,000","8,988,454",-,-,-,-,-,-,-,-,-
引揚者越冬用薪炭費補助,"1,090,000",-,-,-,-,-,-,-,-,-,-,-,-
眼鏡レンズ研磨作業施設費補助,,"1,684,900",-,-,-,-,-,-,-,-,-,-,-
時計硝子製作作業所施設費補助,,"744,900",-,-,-,-,-,-,-,-,-,-,-
木材乾燥工場新設費補助,,"5,500,000",-,-,-,-,-,-,-,-,-,-,-
入殖者住宅建築費補助,,"105,984",-,-,-,-,-,-,-,-,-,-,-
市営住宅費補助,,"1,132,957",-,-,-,-,-,-,-,-,-,-,-
財産造成補助金,,,,,,,,,,,,,
道交付金,"14,141,949","3,090,856","439,245",-,"173,500","859,000","3,658,066","744,400","1,006,055","1,130,534","1,361,339","1,413,273","1,847,149"
交付金,,,,,"173,500","859,000","3,658,066","744,400","1,006,055","1,130,534","1,361,339","1,413,273","1,847,149"
道税徴収交付金,"1,091,229","1,356,712","439,245",-,-,-,-,-,-,-,-,-,-
道民税徴収交付金,"1,547,771","1,333,851",-,-,-,-,-,-,-,-,-,-,-
道税調査費交付金,"194,005","277,513",-,-,-,-,-,-,-,-,-,-,-
宝くじ売捌交付金,"785,781",-,-,-,-,-,-,-,-,-,-,-,-
引揚者収容設備費委託金,"9.632,808",-,-,-,-,-,-,-,-,-,-,-,-
選挙費交付金,890.356,-,-,-,-,-,-,-,-,-,-,-,-
学校給食施設交付金,,"122,780",-,-,-,-,-,-,-,-,-,-,-
道委託金,,,０,-,"172,600","91,574",-,"4,626,187","3,364,069","3,458.453","3,673,525","3,518,525","3,553,230"
委託金,,,,,"172,600","91,574",-,"4,626,187","3,364,069","3,458,453","3,673,525","3,518,525","3,553,230"
公営企業及び財産収入,"618,732","3,581,204","10,473,559","17,790,012","41,491,924","26,189,362","30,572,793","35,381,686","73,544,541","137,520,019","89,261,634","120,136,273","118,847,912"
公営企業収入,,,"7,107,556","7,000,000","25,000,000","15,000,000","15,000,000","15,000,000","31,500,000","53,000,000","53,000,000","78,000,000","79,000,000"
公営企業収入(自転車競争),,,,"7,000,000","25,000,C00","15,000,000","15,000,000","15,000,000","31,500,000","53,000,000","53,000,000","78,000,000","79,000,000"
宝くじ収入,,,"7,107,556",-,-,-,-,-,-,-,-,-,-
財産収入,"144,431","1,303,600","3,366,003","5,093,697","8,505,637","9>642,538","11,777,116","15,450,752","17,771,032","24,335,708","23,377,284","25,934,075","29,662,381"
一般基本財産収入,"63,362","162,852","382,595","518,427","856,C17","775,839","999,164","976,397","1,026,744","892,928","966,129","1,046,086","987,942"
積立金収入,"5,363","6,004",-,-,-,-,-,-,-,-,-,-,-
普通財産収入,,,"801,000","1,297,140","1,429,436","1,710,594","1,962,592","3,449,845","2,201,440","6,468,054","3,593,915","3,827,701","4,696,222"
市営住宅収入　昭和27ｮﾘ住宅収入,"75,706","1,134,744","2,182,409","3,278,129","6,220,184","7,156,105","8,815,360","11,024,510","14,542,848","16,974,726","18,817,240","21,060,288","23,978,217"
財産売払収入,"474,301","2,277,604",０,"5,696,315","7,986,287","1,546,824","3,795,677","4,930,934","24,273,509","60,184,311","12,884,350","16,202,198","10,185,531"
財産売払収入,,,,"5,696,315","7,986,287","1,546,824","3,795,677","4,930,934","24,273,509","60,184,311","12,884,350","16,202,198","10,185,531"
不動産売払収入,"474,301","2,277,604",-,-,-,-,-,-,-,-,-,-,-
繰入金,"75,000","75,000","220,839","75,000",-,-,-,-,-,-,-,-,-
基本繰入金,"75,000","75,000","75,000","75,000",-,-,-,-,-,-,-,-,-
交通事業費会計繰入金,"75,000","75,000","75,000","75,000",一,-,-,-,-,-,-,-,-
財産金繰入,,,"145,839",-,-,-,-,-,-,-,-,-,-
基本財産繰入,,,"145,839",-,-,-,-,-,-,-,-,-,-
寄付金,"2,286,748","2,523,440","1,147,773","2,792,842","363,275","499,900","1,574,620","572,747","2,040,000","4,705,965","13,321,439","1,605,055","2,942,000"
寄付金,"2,286,748","2,523,440","1,147,773","2,792,842","363,275","499,900","1,574,620",572.747,"2,040,000","4,705,965","13,321,439","1,605,055","2,942,000"
