,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
歳入の部,,,,,,,,,,,,,,,,
使用料及び手数料,"26,612,085","37,785,413","40,997,805","41,593,258","64,549,287","87,581,662","101,664,997","156,181,451","100,191,049","137,872,703","144,644,976","149,350,331","171,842,121","166,667,783","176,994,040","207,975,979"
港湾使用料,"25,354.265","36,467,382","39,890,495","40,430,028","64,281,967","87,499,952","86,882,391","91,159,632","98,015,099","129,932,025","142,498,466","140,250,801","159,299,721","153,679,483","163.943,140","185,540,724"
海員水産会館使用料,"1,216,590","1,285,201","1,086,310","1,124,480","240,300",-,"1,013,270","1,584,800","2,073,600","2,163,550","2,078,120","8,996,980","12,466,500","12,868,400","12,963,100","13,220,000"
手数料,"41,230","32,830","21,000","38,750","27,020","81,710","13,769,336","63,437,019","102,350","5,777,128","68,390","102,550","75,900","119,900","87,800","9,215,255"
国庫支出金,"37,876,999","33,931,770","38,324,830","55,442,816","83,264,261","85,829,343","76,720,773","71,∠138,440","96,123,354","69,329,780","54,311,847","44,277,443","25,856.000","75,250,000","139,160,000","3n,801,000"
統計費負担金,"95,000","131,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-
港湾災害復旧費負担金,-,"195,911","1,520,000",-,"26,072,000","13,345,820","25,437,600",-,-,-,-,-,-,-,-,"28,349,000"
港湾施設整備費補助金,"37,781,999","33,604,859","36,599,830","46,601,794","44,551.284","63,448,462","40,924,173","64,195,440","85,908,363","56,151,780","48,240,847","35,211,000","13,835,000","53,460,000","121.125,000","245,269,000"
港湾計画調査費補助金,,,,,,,,,,,,,,,,"19,000,000"
港湾保全施設整備費補助金,,,,"8,705,022","12,504,977","8,899,061","10,086,000","7,128,000","10,092,991","13,056,000","5,934,000",-,-,-,-,-
港湾統計費委託金,,,"205,000","136,000","136,000","136,000","113,000","115,000","122,000","122,000","137,000",-,-,-,-,-
港湾汚染調査委託金,,,,,,,"160,000",-,-,-,-,"8,906,443","11,856,000","21,390,000","17,820,000","18,948,000"
道支出金,,,,"55,632","56,664","1,483,176","1,681,000","1,188,000","1,050,600","3,271,000","3,865,000","160,000","165,000","400,000","215,000","235,000"
漁港管理委託金,,,,"55,632","56,664",-,-,ー,~,-,-,-,-,-,-,-
港湾施設整備費補助金,,,,,,,,,"1,050,600","3,271,000","3,865,000","5,113,000","4,185,000","4,251,000","6,025,000","9.354,000"
港湾保全施設整備費補助金,,,,,,"1,483,176","1,681,000","1,188,000",-,-,-,-,-,-,-,-
財産収入,,,"48,000,000","67,493,375","75,103,625","97,965,320","97,599,610","60,700,192","47,090,562","73,284,614","69,263,561","5,113,000","4,185,000","4,251,000","6,025,000","9,354,000"
財産貸付収入,,,,,,,,,,,,-,-,-,-,-
