,昭和27(28.1-3),昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
貸付金,,"268,852","576,396","836,458",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
他会計からの長期借入金償還,,,,,,,,,,,,,,,,,,,"2,840,000","2,840,000","2,840,000","2,840,000","2,840,000","2,840,000","2,960,000",-,-
再建債借入一時借入金返還金,,,,,,,,,,,,,,,,,,,,,"1,184,800,000",-,-,-,-,-,-
再建債償還金,,,,,,,,,,,,,,,,,,,,,,"84,628,590","84,628,572","84,628,572","84,628,572","84,628,572","84,628,572"
退職給与金,,,,,,,,,,,,,,,,,,,,,,,,,,"111,507,268",-
投資,,,,,,,,,,,,,"126,940",-,-,-,-,-,-,-,-,-,-,-,-,-,-
関連費,,,,,,,,,,,"2,210,700","1,424,207","2,136,396","2,331,574","4,090,699","2,162,000","3,208,000","3,690,000","1,759,737","3,341,622",０,０,"40,262,637",-,-,-,-
建設改良費,,,,,,,,,,,"895,378","22,000","523,005","621,600","1,696,800","2,162,000","3,208,000","1,690,000","1,759,737","3,341,622",０,０,"40,262,637",-,-,-,-
企業債償還金,,,,,,,,,,,"1,315,322","1,402,207","1,494,831","1,593,574","1,698,839",-,-,-,-,-,-,-,-,-,-,-,-
投資,,,,,,,,,,,,,"118,560","116,400","695,060",-,-,"2,000,000",-,-,-,-,-,-,-,-,-
計,"3,444,411","92,144,109","128,525,607","95,154,587","120,024,305","107,410,780","148,355,180","170,394,697","157,355,350","148,841,198","212,199,390","190,886,430","193,182,269","169,865,946","189,636,447","169,572,560","238,663,248","266,737,169","221,007,282","168,449,303","2,880,629,177","452,592,171","423,036,282","344,392,818","306,066,144","888,119,683","569,444,831"
収支（収益一費用）,"6,291,653","△54,531,261","△87,830,178","△48,116,364","△69,251,503","△68,347,911","△53,037,863","△75,243,227","△67,279,658","△78,813,484","△70,438,890","△70,520,302","△73,070,269","△60,865,946","△108,413,300","△86,856,385","△109,705,829","△78,300,998","△115,007,282","△111,449,303","△170,066,099","△262,978,734","△298,592,541","△278,586,231","△278,038,600","△208,527,789","△184,637,836"
翌年度繰越額,,,,,,,,,,,,"1,475,701","1,722,089","21,588,099","3,170,000","728,626",-,"9,459,111",-,-,-,-,-,-,-,-,-
