,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和35,昭和36,昭和37,昭和38
公益質屋事業収入,"483,735","798,614","893,497","1,262,253","1,293,134","1,400,623","1,597,870","1,801,085","1,807,132","2,492,895","2,379,354","2,331.872","2,197,566"
貸付金利子　昭和28ｮﾘ事業収入,"483,735","794,481","886,480","1,255,365","1,281,868","1.400,623","1,597,870","1,801,085","1,807,132","2,492,895","2,379,354","2,331,872","2,197,566"
雑入,,"4,133","7,017","6,888","11,267",-,-,-,-,-,-,-,-
種畜場収入,,,,０,"134,942",-,-,-,一,-,-,-,-
種畜場収入,,,,,"134,942",-,-,-,-,-,-,-,-
共同作業所収入,,"1,306,766","4,031,708","714,796",-,-,-,-,-,-,-,-,-
砕石場収入,,,"2,820,000","608,712",-,-,-,-,-,-,-,-,-
共同作業所収入,,"1,306,766",-,-,-,-,-,-,-,-,-,-,-
レンズ研磨補導所収入,,,,"106,084",-,-,-,-,-,-,-,-,-
眼鏡レンズ時計硝子制作収入,,,"1,211,708",-,-,-,-,-,-,-,-,-,-
予防接種実費徴収料,,"1,676,045","3,617,204","1,839,390","854,797","1.018,675","876,974",-,-,-,-,-,-
予防接種実費徴収料,,"1,676,045","3,617,204","1,839,390","854,797","1,018,675","876,974",-,-,-,-,-,-
貸付金戻入,０,"14,148,884","23,284,471",-,-,-,-,-,-,-,-,-,-
貸付金戻入,０,"14,148,884","23,284,471",-,-,-,-,-,-,-,-,-,-
雑入,"10,865,567","13,084,952","18,098,235","37,355,191","68,102,179","100,264,321","104,555,827","86,193,833","85,404,087","155,858,250","177,282,158","216,924,213","245,493,912"
疎開跡地貸付料,,,,"1,055,702","1,229,825","1,272,777","979,873","1,089,782","997,336","342,169","347,345","315,762","312,248"
耕作地貸付料,,"745,496","584,379",-,-,-,-,-,-,-,-,-,-
建物賃貸料,,"404,511","883,232",-,-,-,-,-,-,-,-,-,-
歳計現金一時預金利子,,"164,437","152,517","179,974","746,641","933,534","848,551","707,772","1,715,721","2,770,122","2,667,696","4,604,466","3,285,368"
無料宿泊所収容保護費,,,"3,871,159","4,292,483",-,-,-,-,-,-,-,-,-
養老院収容保護費,,,,"454,836","2,456,850","3,152,518","3,751,802","4,317,703","3,537,066","8,135,095","10,389,200","11,483,311","13,696,114"
精神薄弱児通園措置費（ゆのかわ学園）,,,,,,,,,,"1,431,493",委託金へ,,
運営収入,,,,"8,739,955","11,111,246","13,551,863","15,696,717","13,427,415","10,699,922","16,580,406","16,692,368","18,728,559","19,502,432"
延滞金,,"3,654,376","1,917,169","3,573,911","5,758,853","3,823,593","2,418,974","2,565,764","4,172,383","6,178,297","5,231,355","5,193,613","6,282,506"
過年度収入,,"1,598,034","1,404,735","5,793,136","24,856,502","22,014,108","15,900,902","6,967,730","11,163,966","7,517,625","3,990,079","5,058,480","4,669,291"
予託金戻入,,,,"3,000,000","3,000､000",-,-,-,-,-,-,-,-
貸付金戻入,,,,"2,060,000",-,-,-,-,-,-,-,-,-
物件購買収入,,,,,"1,463,985",-,-,一,-,-,-,-,-
予防接種実費徴収料,,,,,,,,"1,112,731","497,485","5,331,622","7,249,192","3,084,217","3,872,429"
転貸債返還金,,,,,,,,181.713,"558,028","4,530,574","5,059,146","5,206,985","5,804,764"
区画整理清算徴収金,,,,,,,,,,,,"3,390,463","3,132,785"
分譲住宅売払収入,,,,,,,,,,,,"11,011,701","11.323,307"
生業資金貸付収入,,,,,,,,,,,,"698,412","944,817"
住宅改修促進収入,,,,,,,,,,,,"1,193,000","1,175,000"
機械貸付収入,,,,,,,,,,,,"33,145,765","36,535,399"
国民年金印紙収入,,,,,,,,,,,,"22,192,830","25,654,460"
恩給納付金,,"235,091",-,-,-,-,-,-,-,-,-,-,-
雑入,"10,865,567","6,283,007","9,285,043","8,205,194","17,478,277","55,515,928","64,959,008","55.823,223","52,062,180","103,040,847","125,655,777","91,616,649","109,302,992"
