,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　50,昭　和　51,昭　和　52,昭　和　53,昭　和　54
社会福祉総務費,"22,027,439","25,863,118","27,460,364","29,731,969","32,416,344","36,263,021","45,816,375","48,758,678","62,332,812","132,217,561","218,282,108","271,035,016","354,959,405","253,261,123","257,369,532","310,712,068"
身体障害者福祉費,"1,454,205","1,985,905","2,872,383","3,748,527","4,823,970","9,211,619","8,383,812","11,964,526","14,806,682","36,792,328","39,255,775","60,844,555","77,319,834","109,172,391","128,615,893","147,852,972"
精神薄弱者福祉費,"550,282","941,086","1,807,900","3,593,671","6,124,492","11,422,377","14,747,196","22,515,658","32,509,288","61,451,365","123,157,225","169,476,726","204,715,194","243,690,996","291,560,198","356,507,438"
精神薄弱者通所援護施設建設,,,,,"11,503,311",-,-,-,-,-,-,-,-,-,-,-
重度心身障害者医療助成費,,,,,,,,,,"9,734,214","69,493,070","115,000,944","157,988,222","199,299,794","260,071,891","323,566,495"
あぉば学園費,,,,,,"8,200.993","10,048,560","11,053,545","13,230,713","17,478,266","21,910,309","31,776,692","32,038,926","4,067,558","5,632,308","5,819,527"
老人福祉費,"26,052,419","30,062,211","36,791,129","55,816,079","42,018,292","53,792,439","65,217,977","81,278,222","90,608,531","130,973,944","193,819,850","257,176,160","315,645,770","428,266,871","503,792.446","547,365,193"
老人医療助成費,,,,,,,,"28,235,681","338.877,930","590,427,958","753,351,555","857,633,253","1,038,200,299","1,292,924,980","1,580,538,177","1,771,539,682"
清和荘費,"17,794,555","24,598,331","26,337,169","29,178,500","34,103,040","36,434,697","42,162,531","45,064,880","55,181,209","63,137,885","96,476,494","119,590,811","140,600,230","54,079,691","61,963,047","63,670,406"
養護老人ホーム建設費,,,,,,,,,,"108,204,074","251,428,915",-,-,-,-,-
老人福祉センター費,,,,,,"23,724,113","12,441,077","39,026,895","12,232,167","50,741,530","45,423,997","55,169,654","63,458,256","28,008,225","28,957,086","31,803,454"
単身老人住宅建設費,,,,,,,,,,,"6,069,047","9,560,762",-,-,-,-
亀田福祉センター費,,,,,,,,,,"2,591,861","7.821,323","10,880,568","12,633,743","7,133,885","8.471,424","9,360,096"
生活館費,,,"96,789","1,002,580","767,458","922,898","971,334","1,048,500","2,n0,000","985,000","2,035,515","2,942,390","3,297,000","3,086,310","3,413,000","5,339,465"
公益質屋費,"4,697,144","5,525,740","5,674,241","6,188.768","4,455,069","2,591,969","2,413,739","2,673,537","1,535,900",-,-,-,-,-,-,-
国民年金費,"40,650,107","44,779,680","55,723,142","84,113,494","96,236,885","119,478,527","163,460,279","179,680,118","217,676,286","298,137,674","533,344,353","606,383,963","792,485,969","1,168,023,530","1,459,588,862","1,778,734.826"
児童福祉費,"114,355,245","197,961,185","211,182,401","281,006,308","270,175,448","320,009,228","405,654,388","513,517,115","694,644,888","1,113,837,122","1,691,881,050","2,102,778,778","2,309,500,460","1,630,607,391","1,822,578,491","2,127,553,970"
児童福祉総務費,"10,943,398","12,424,979","12,338,176","15,381,687","17,074,170","20,683,069","25,645,754","43,244,375","54,505,546","60,450,134","84,399,452","97,606,309","115,253,833","31,567,301","20,648,596","58,296,677"
児童措置費,"49,546,902","57,673,593","71,309,791","83,959,144","105,501,032","130,391,698","157,325.094","193,884,150","301,015,369","436,861,581","682,277,020","871,416,174","1,018,327,893","1,114,621,227","1,239,784.386","1,376,249,149"
乳幼児医療助成費,,,,,,,,,,"84,573,908","183,742,486","217,031,895","259,950,193","259,452,400","287,032,385","296,277,548"
