,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和35,昭和36,昭和37,昭和38
養老院建築費補助　　昭和26院費,,,"2,360,000","750,000",-,-,-,-,-,-,-,-,-
保育所設備費補助　　昭和26所費,,,"436,000","1,140,000",-,-,-,-,-,-,-,-,-
無料宿泊所費補助,,,,"767,000",-,-,-,-,-,-,-,-,-
児童保護費補助,,"859,277.99",-,-,-,-,-,-,-,-,-,-,-
民生委員事務所費補助,"53,400","200,000",-,-,-,-,-,一,-,-,-,-,-
新制中学校整備費補助,"8,099,768","3,219,000",-,-,-,-,-,-,一,-,-,-,-
土木費補助,,,,,"14,273,357","12,254,903","23,647,345","38,506,436","35,175.529","83,944,282","47,174.520","64,810,483","70,760,000"
災害復旧土木費補助,"788,274","46,532,029","26,957,474","9,567,448",-,-,-,-,-,-,-,-,-
道路改修費補助,,"2,615,000","2,295,943","1,600,000",-,-,-,-,-,-,-,-,~
下水道事業費補助,"711,000","1,500,000","2,500,000","3,600,000",-,-,-,-,-,-,-,-,-
下水施設費補助,,"150,000",-,-,-,-,-,-,-,-,-,-,-
市営住宅建築費補助,"4,641,000","12,816,001","15,156,400","21,338,536",-,-,-,-,-,-,-,-,-
住宅改造費補助,,"299,383",-,-,-,-,-,-,-,-,-,-,-
都市水利施設整備費補助,"596,000","684,250","689,500","493,250",-,-,-,-,-,,,,
公共空地整備費補助　畭26公共施設整備費,"152,859","244,280","445,500","341,895",-,-,-,-,-,-,-,-,-
重要幹線街路整備費補助,,,"1,773,000","1,973,000",-,-,-,-,-,-,-,-,-
生産都市再建整備費補助,"844,693","586,500",-,-,-,-,-,-,-,-,-,-,-
連絡街路整備費補助,"500,000","500,000",-,-,-,-,-,-,-,-,-,-,-
特別地下土木設備費補助,,"782,000",-,-,-,-,-,-,-,-,-,-,-
共同作業所費補助,"1,294,150","58,466",-,-,-,-,-,-,-,-,-,-,-
小学校建築費補助,,"2,194,350",-,-,-,-,-,-,-,-,-,-,-
引揚者収容所費補助,,"1,324,800",-,-,-,-,-,-,-,-,-,-,-
性病診察所費補助,,"430,000",-,-,-,-,-,-,-,-,-,-,-
